measure	globqual	meanclassqual	classqual_staal_3	classqual_staal_1	classqual_staal_1b	classqual_staal_5	model	technique
DR	1.6621511906249744	1.840657802015084	1.5057169851331664	1.6358194309608758	1.3089311516568392	2.9121636403094553	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.08949901856125766	0.09608992141055814	-0.08004532620245468	0.12351237719536769	0.04283610662462123	0.29805652802469834	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.7070470198549765	0.44652566200411836	0.4846483452385855	0.8303303668814122	0.04415142220460517	0.4269725136918706	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.732620320855615	0.48724183336988214	0.51655844155844155	0.8498447893569845	0.07832167832167831	0.5042424242424243	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6804213118123157	1.8424957503007477	1.4694153547949877	1.6685805812197245	1.0921629413138971	3.139824123874382	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.09037652420570051	0.04298189081054462	-0.15886503611163613	0.1564700472684927	-0.16202977318912	0.3363523252744419	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6936415093418317	0.4689975047478357	0.4175779729362232	0.8171549876432159	0.02879931383848664	0.612457744573417	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7440075495438817	0.5088211991260772	0.5292207792207793	0.8572062084257206	0.03916083916083916	0.6096969696969696	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.7210440690870696	2.4955126977130133	2.4964616126900085	1.302587173386575	1.0977574801786243	5.085244524596845	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.008310901089429704	0.03994649293285224	0.056093593470869604	-0.01585638948327942	-0.35896875419574253	0.4785175219395613	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.7199760213712354	0.5216030665537006	0.47475616793196007	0.8282702336474373	0.029730547579219408	0.7536553170561854	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.7481597986788298	0.5551209562794929	0.5590909090909091	0.8428381374722838	0.07552447552447553	0.743030303030303	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0723515017178131	1.3717274140014641	1.6932577505406585	0.8495806807515149	1.6189789792973486	1.3250922454163347	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.20776002305961827	-0.08757068714975158	0.04460116797545565	-0.29753452505299133	0.042746781084958774	-0.14009617260642943	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.5944308418748396	0.2941391731214702	0.32779213443842603	0.7409430860105161	0.03825046971653609	0.06957100232040266	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6511481597986788	0.38418398674496235	0.40389610389610386	0.782350332594235	0.03776223776223776	0.3127272727272727	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.628898649188597	2.0776585524287947	1.584438824799368	1.4924551688878864	1.218138717847828	4.015601498180097	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.024246563149171015	0.051235868797340815	-0.2527937137836759	0.07427846884723799	-0.0923689032127328	0.47582762333853396	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.7170907791978595	0.4839320363933158	0.4196577395416479	0.8478216460817525	0.044383536079045584	0.6238652238708171	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7397294746775716	0.4968182427328769	0.4928571428571428	0.8625277161862528	0.05734265734265734	0.5745454545454546	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.6470742017807152	2.112592332627564	1.622777200255889	1.5004193759505624	1.182321142062744	4.1448516122410615	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
