measure	globqual	meanclassqual	classqual_herstellen_2	classqual_herstellen_3	classqual_herstellen_4	classqual_herstellen_5	classqual_herstellen_1	model	technique
DR	1.623681435176496	1.6808178461193268	1.3423680352305176	1.3098398843038244	2.64204210496308	1.4414483282299888	1.6683908778692238	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.03175201310452272	0.04618401526842126	-0.08445693801353554	-0.2094565875994991	0.496042724922648	-0.06504631589825505	0.09383719293074796	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6185764810865321	0.5118126791340817	0.7520632495056295	0.0847197814072703	0.7163383597336976	0.5788080352821047	0.4271339697417065	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6256637168141593	0.5178132844880332	0.7589376915219612	0.14303030303030304	0.731578947368421	0.6126623376623377	0.34285714285714286	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6552479301246248	1.7152786127393798	1.289411229734465	1.2088842361101975	2.9098323851838277	1.4967897367301415	1.671475475938267	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.03220453990670733	0.053919357731721684	-0.1436666409965168	-0.24473201535507821	0.5620367829245237	-0.011025106842818162	0.10698376892849784	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.566131231923907	0.47411010677451415	0.6349539091454934	0.06217690198305488	0.7748429222019768	0.5677830540091376	0.3307937465329081	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.5978278358809332	0.501313628811559	0.6768130745658836	0.10424242424242425	0.6985645933014354	0.6431818181818182	0.38376623376623376	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.7121283972072376	1.8027284586443604	1.281232668968662	1.3496678063268084	3.5232185446393185	1.3827620281211501	1.476761245165863	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.04026551246323718	0.07725404661512306	-0.16425364136083823	-0.09844448857825984	0.5586940720620319	0.051328297908850386	0.038945993043831076	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.5852196844082329	0.47938882688428947	0.6441006298678839	0.05596101632760017	0.8877638426310701	0.632318902730975	0.1767997428639181	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.634271922767498	0.5300141492648884	0.6972420837589377	0.0993939393939394	0.8712918660287081	0.6853896103896103	0.29675324675324677	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.282045066250892	1.3571025635849954	0.962755459611691	1.1543878290285048	2.2592586516087825	1.19407851056328	1.2150323671127183	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.09031064928419719	-0.03262418953316816	-0.30449268621916653	-0.13384873978609252	0.43781786424616465	-0.12096352156773976	-0.041633864339006635	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.42653985320339977	0.3411250827330055	0.5333027105179363	0.05418594942479592	0.5598670291716585	0.4005277482342582	0.15774197631637862	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.4814963797264682	0.4160677382936401	0.5644535240040858	0.20727272727272725	0.6267942583732057	0.4487012987012987	0.2331168831168831	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.4066586455904284	1.385707525713173	1.2729607142259092	1.054074045037712	1.7890846397715499	1.502404032985246	1.3100141965454484	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.016205215472171346	-0.019145747152854758	-0.10692820863127597	-0.2278634356063688	0.2163578078884089	0.014815853193924759	0.007889247391037333	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4443506720227018	0.33978561176452426	0.5745571359068441	0.05114860398259084	0.3499008303571067	0.5346858745707975	0.18863561400528225	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.48865647626709574	0.397332160841327	0.6130745658835546	0.12242424242424242	0.44401913875598087	0.5201298701298701	0.287012987012987	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.4104159312206217	1.4008831944699933	1.2583457347644278	1.0574581115253596	1.862767347081293	1.4639480495874326	1.3618967293914532	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
