measure	globqual	meanclassqual	classqual_herhalen_2	classqual_herhalen_4	classqual_herhalen_1	classqual_herhalen_3	model	technique
DR	1.767813867374114	2.1853798387019694	1.4814338583995	1.6254541231326423	1.2012780254430644	4.433353347832671	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.06728016772854617	0.17157334644265457	0.08648998133053896	0.1399975325747232	-0.27063416066747403	0.7304400325328302	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.6707385484675089	0.6088850474282336	0.7640782071522382	0.16098571997511532	0.5237037758130941	0.9867724867724867	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.6895197825430384	0.6273948808173407	0.7852420306965762	0.20909090909090908	0.5435294117647058	0.9717171717171718	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.7604626368966323	2.348782307418615	1.193304897905759	1.5475037039594584	1.3538706229453215	5.300450004863921	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.009785378154259332	0.16606916334932997	-0.19973025532738073	0.14587314843827634	-0.037397076198405904	0.7555308364848302	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.6801917209451097	0.6150113496761618	0.7814528201235352	0.17468377331987567	0.5247240532598434	0.979184752001393	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.6880096647538508	0.6241827275517116	0.7824085005903187	0.2125874125874126	0.5512299465240642	0.9505050505050505	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.7937778722874786	2.2585075969220703	1.4086838106705093	1.4538667164499848	1.286041287900668	4.885438572667119	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.06806867645355646	0.17808727692840284	0.03589396130755145	0.08693133230655142	-0.17391980359989945	0.7634436176994079	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.739606091247968	0.6472431773767434	0.8418911199057103	0.14372226252363876	0.6431119673418343	0.9602473597357902	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.7552401087284808	0.6707384356582218	0.8554899645808737	0.21328671328671328	0.6515508021390374	0.9626262626262626	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.4503606624181555	1.7681522563502952	1.21184234136992	1.6754753254199686	1.1367753356320698	3.0485160229792223	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.03493966952186675	0.11764721275582993	-0.15183366508718713	0.18825890080915691	-0.15630770764370927	0.5904713229450592	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
