measure	globqual	meanclassqual	classqual_spoor_5	classqual_spoor_1a	classqual_spoor_1	classqual_spoor_2	classqual_spoor_4	classqual_spoor_8	classqual_spoor_3	model	technique
DR	1.5951039237243614	1.779662110140337	1.7086399230930798	1.1204079091980468	1.3688968263021457	1.2525273426213228	2.358596496639062	3.21462398357387	1.4339422895548324	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	-0.11532613463935186	-0.03750815499217524	-0.06985400988216055	-0.42840702259834473	-0.2993788444587391	-0.21401999367585015	0.18209647313072716	0.5353918318373321	0.031614480701808605	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.451077117698961	0.3406964043401469	0.28961509913500033	0.06461784228348809	0.5299684843087371	0.5493343874329515	0.6084221534514039	0.12397352605695883	0.2189433377124885	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.4893628365769128	0.43347971475562846	0.3406417112299465	0.17391304347826086	0.5263636363636364	0.5728191000918273	0.6321907600596125	0.5504132231404959	0.23801652892561984	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6532310969563977	2.0725040686132687	1.6942014729995258	1.1610704119275583	1.3133724315255433	1.2443178391938434	2.3884626647961142	5.264116792001945	1.4419868678483503	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.142311856515934	-0.032465609422854286	-0.09951898451414073	-0.37323947871826435	-0.4120299196259679	-0.24401294407325244	0.20470084399649377	0.6783193726622422	0.018521844312909506	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.42627813749503	0.34667072760351897	0.21782652218846751	0.07650448274650005	0.4693332235207896	0.5195559583799811	0.5896473394672458	0.3196525067713574	0.23417506015029113	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.4879232204745401	0.4537793124432335	0.34652406417112297	0.15573122529644268	0.525	0.5425160697887971	0.6154992548435171	0.6793388429752066	0.3118457300275482	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.5230456513674164	1.7372778804102402	1.596967423908068	1.2443236713296395	1.2298893856209876	1.191084292049236	2.28267298850179	3.247161911207922	1.3688454902540383	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.10204479784138472	-0.033600992268605204	-0.2016006819207809	-0.1157004368276455	-0.08519984689753798	-0.2780188406505957	0.14846298281832698	0.4451898985458916	-0.14834002094789492	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.3873132377820046	0.28978076067210584	0.19769947253369	0.13132021570797042	0.4867063383068606	0.45509994938511394	0.5334928251239178	0.07271057319802371	0.15143595044916422	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.4592375366568915	0.4500612299077486	0.3048128342245989	0.26956521739130435	0.4943181818181818	0.49476584022038567	0.5770491803278688	0.7735537190082644	0.23636363636363636	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.5046806112395468	1.7825598770977373	1.44355969610476	1.154551673441301	1.1897491835625005	1.1306261845160608	2.3039554668949602	3.8010717735063646	1.4544051616582134	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.10489105287172062	-0.0526604077125575	-0.2633330125276493	-0.20735346020594725	-0.09129260785411517	-0.26637676141398714	0.22940022885443578	0.4529583646657006	-0.22262560550634003	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.4047842379083878	0.30271710283406594	0.22188261521103064	0.09478851462239402	0.47966531560732795	0.5087827471314085	0.5392550893862754	0.10878621563314363	0.16585922224688152	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.4743801652892562	0.4531525272781976	0.3053475935828877	0.2608695652173913	0.5231818181818182	0.5403122130394857	0.56274217585693	0.7553719008264462	0.22424242424242424	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.5716151884246128	1.7964441983784059	1.4101183791289176	1.3928397686280345	1.2994170242852228	1.2429743778830131	2.363853414345709	3.447107088583251	1.4187993357946933	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.12063632290203409	-0.03182605553220088	-0.18447855660959436	-0.29251710737440556	-0.32255399862110973	-0.21574834327323228	0.1971415605776511	0.5748361319881103	0.020537924587174346	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.40794286628228743	0.3169836904822376	0.14248862078160215	0.13309642958290127	0.42047003518895965	0.5261337251393864	0.603293541680299	0.19569891382811133	0.1977045671744036	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.44174886696880833	0.37196174443183333	0.20320855614973263	0.1976284584980237	0.46136363636363636	0.5436179981634527	0.597913561847988	0.35537190082644626	0.24462809917355371	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.5844162304883473	1.87944843325818	1.4580174808005382	1.3074099600267266	1.3599390663865427	1.200773892029893	2.281054116580528	4.0585590738655295	1.4903854431175019	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	-0.13672840627434613	-0.034657974906578064	-0.1482108769098764	-0.3465879439274356	-0.3311444051085741	-0.27011487131911815	0.18090159687898405	0.618633593815625	0.05391708222434875	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.40752763412729104	0.31987335060044125	0.18244932891696716	0.11092635375567837	0.45248888828899025	0.5068779092073824	0.5680768986664988	0.2101854301176182	0.20810864524995346	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.4522527326046388	0.3848010370205075	0.23850267379679144	0.19999999999999998	0.4870454545454545	0.5314967860422406	0.6062593144560358	0.35702479338842974	0.27327823691460057	spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.5214721302312602	1.7530711665938965	1.4511958850590385	1.2465870480010712	1.2188530218498608	1.1596040821734437	2.28324168553253	3.3124316874854687	1.5995847560558631	spoor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.1415848598577313	-0.030571228165335296	-0.13646985201409256	-0.32828186196977155	-0.34003420045132254	-0.31403759770306156	0.20417768648116763	0.6078963011289097	0.09275092737082383	spoor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.4203159308699586	0.34026197123333424	0.20658553172376037	0.10646666675954548	0.43301423882587325	0.5032097801310956	0.6412330773753462	0.26967012147048525	0.22165438234723361	spoor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
