measure	globqual	meanclassqual	classqual_heet_3	classqual_heet_1	model	classqual_heet_5	classqual_heet_7	classqual_heet_2	classqual_heet_6	technique
kNN	0.5905409232512036	0.249059779414158	0.5008021390374331	0.7786641929499072	heet.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	0.05795454545454545	0.024793388429752063	0.1024793388429752	0.029665071770334926	mds
DR	1.215998091075955	1.4510336993114814	1.4818987330421807	1.0500393716096983	heet.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	1.0531746132068809	1.2039042900580614	2.595212877503207	1.3219723104488608	mds
SIL	-0.1315045387737708	-0.13176403934718425	-0.15754147375003744	-0.11476608786935144	heet.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.1801110257457882	-0.35469914716990086	0.31708161859636935	-0.30054812014439697	mds
SCP	0.6222892130704895	0.2739914717581507	0.6282406656234046	0.7831154730882982	heet.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.03536483695550209	0.0284541185096575	0.06771178475424011	0.10106195161780177	mds
kNN	0.6406117247238743	0.3319216540465686	0.6272727272727272	0.7911873840445269	heet.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.08068181818181819	0.06611570247933884	0.27603305785123966	0.15023923444976076	mds
DR	1.4049986494960416	1.4576328324462453	2.2220481006269486	1.1598318862013477	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	1.100407007449859	1.0316271661906182	2.1463334121979076	1.0855494220107904	mds
SIL	-0.07055500300391178	-0.08546932677091724	0.12060920646383523	-0.10712319693788883	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.25847313663595106	-0.253663388336633	0.2903516986501977	-0.30451714382906353	mds
SCP	0.6283209142321375	0.26465342884504334	0.5667890643991672	0.8205748960922316	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.04723303933700074	0.025848189384303485	0.0619250434602684	0.0655503403972887	mds
kNN	0.6477620239088129	0.3257001164444011	0.5868247694334651	0.8222932846048424	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.0659090909090909	0.11363636363636363	0.22644628099173553	0.1390909090909091	mds
DR	1.3546217700965977	1.3961668821044393	2.080039719052582	1.1354055720611438	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	1.1100522374580595	1.0183118015557409	1.905727477909814	1.1274644845892952	mds
SIL	-0.08242653428685555	-0.09388230294662048	0.09970513157876716	-0.12143444573314612	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.26107037904394054	-0.26725308755890675	0.22429913733119566	-0.23754017425369225	mds
SCP	0.6354998536109864	0.2657796500023965	0.5758196868708272	0.8296356117184086	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.03870095600357203	0.026430044299293673	0.04875564948356394	0.07533595163871364	mds
kNN	0.6484292465943842	0.32142801808981025	0.5794466403162055	0.8262220191868433	heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.14659090909090908	0.08787878787878788	0.17024793388429751	0.11818181818181818	mds
DR	1.307886357290622	1.637428873395634	1.834309733991418	1.0088451634736604	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	1.4264354800674837	0.9725071665214395	2.865698660929543	1.716777035390259	mds
SIL	-0.14057207243088374	-0.10420518379285094	-0.06077604083161427	-0.1757227530911508	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.33238389896334036	-0.329650547822552	0.33297631156950663	-0.059674173617954906	mds
SCP	0.6305171502534365	0.276188905514117	0.556815349136095	0.8195813392609852	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.056209878702870766	0.025038323225053324	0.05860291817704751	0.14088562458265017	mds
kNN	0.6568807339449542	0.38999767196464613	0.5594202898550724	0.8148012791228871	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.11477272727272726	0.18181818181818182	0.371900826446281	0.29727272727272724	mds
DR	1.2395698298384832	1.7095560579971265	1.5476909382141038	0.9739064695217285	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.1391433765250036	1.0191274404332773	4.1404348433094915	1.4370332799791545	mds
SIL	-0.13773814109895352	-0.1009698995430829	-0.11679964582661076	-0.14702697112968652	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.34834084251500425	-0.35858860291427735	0.5716717677604747	-0.20673510263339318	mds
SCP	0.5753913273313646	0.2613314957006362	0.49244597541866175	0.7496994906708383	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.040250747495276636	0.030463180147026186	0.12535207123970288	0.12977750923231146	mds
kNN	0.6033917153183208	0.35700014124200274	0.46640316205533594	0.7680219278209228	heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.11363636363636363	0.18484848484848485	0.43636363636363634	0.17272727272727273	mds
DR	1.3300492572830371	1.3423850769321284	1.8798089091860726	1.173320641531891	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	1.0193356476933948	1.0507182722236157	1.7568938573406483	1.174233133617148	mds
SIL	-0.0621665804695192	-0.07685555898098045	0.10989953621410187	-0.09595543565560102	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.24073695763760547	-0.24084926073138818	0.24495566048389564	-0.23844689655928553	mds
SCP	0.6133970439844371	0.2508035712881535	0.5310140485197974	0.8113526034131657	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.03301438041662136	0.02498139174700918	0.04838787827240683	0.056071125359920475	mds
kNN	0.6282457603558521	0.28836839079214494	0.5610013175230566	0.8134307903152124	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06704545454545455	0.05757575757575757	0.17024793388429751	0.060909090909090906	mds
DR	1.1571695607313117	1.1938705073102522	1.3786188563524209	1.0734380990124954	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	1.0024734984610317	1.0909862409400024	1.3144415868036112	1.3032647622919513	mds
SIL	-0.12237854599431477	-0.0994323570502009	-0.09586526776242522	-0.13938122330634975	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.18391652249003038	-0.18009771127875399	0.06841248690128214	-0.06574590436492819	mds
SCP	0.5656960868010182	0.22785526350799365	0.4096777850079039	0.7722400987587184	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.032494689796685614	0.027496778511543116	0.03502748810500917	0.09019474086810167	mds
kNN	0.5803725326661107	0.269708176768379	0.43346508563899866	0.7727729556875286	heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.03636363636363636	0.09242424242424242	0.14049586776859505	0.14272727272727273	mds
DR	1.101896554358519	1.2321839871484277	1.1974710880580675	1.011364412160492	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	1.1910222326604736	1.3573035844070345	1.2921889631389827	1.3437536424655159	mds
SIL	-0.17751152237668016	-0.0977729724519808	-0.181150797840401	-0.21441986002404737	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.022783487834310678	0.02839889520708419	-0.14026200317125834	-0.10198755671757297	mds
SCP	0.4864483969576016	0.19092085218925844	0.25932893379368954	0.6938596179990575	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.051020384065554016	0.03563818844390939	0.028964310164874628	0.07671367866846562	mds
kNN	0.5109813733666945	0.24163219729822505	0.3088274044795784	0.7005938784833257	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.07045454545454545	0.17727272727272728	0.08264462809917356	0.10999999999999999	mds
DR	1.1279555994091621	1.2684618085303063	1.2222753470308385	1.0316037064645733	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.0189031528321468	1.3141427745553846	1.4815262967487535	1.5423195735501412	mds
SIL	-0.13368266924733993	-0.11742487474114918	-0.1569622020188437	-0.13394873143160915	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.16985549130604732	-0.11361435993052403	-0.05070956728563805	-0.07945889647423286	mds
SCP	0.5053524262269081	0.21195238611603726	0.35840606763865523	0.6873572166774252	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.03991623344116725	0.03929534440389187	0.034317152031438	0.11242230250364596	mds
kNN	0.5351125938281901	0.26307747239210383	0.36152832674571805	0.7142987665600731	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.10340909090909091	0.13484848484848486	0.0743801652892562	0.19	mds
DR	1.1051264130400646	1.2335901640434281	1.1724659857093453	1.024786960112428	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	1.068286837380684	1.3321352081479272	1.401328085142952	1.4025379077672322	mds
SIL	-0.20404005742501324	-0.1296139907764578	-0.24433874436223044	-0.22317405541974897	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.279897464603144	-0.04770640983282721	0.08310073644391434	-0.06566800688471049	mds
SCP	0.5165778243366737	0.20505155206187833	0.31925664228246975	0.7235966709025768	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.046399873879906704	0.03706267283348451	0.04116848606087537	0.06282496641195687	mds
kNN	0.5504587155963303	0.2609880372136564	0.3520421607378129	0.7482868889904065	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.09659090909090909	0.05	0.19173553719008263	0.12727272727272726	mds
