measure	globqual	meanclassqual	classqual_horde_1	classqual_horde_1b	classqual_horde_3	classqual_horde_2	model	technique
DR	2.209273490658179	1.9845420324612375	2.459053735966082	1.5426499002196707	1.6610587220743578	2.27540577158484	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.10695432932298368	0.1054931127260599	0.09315916450766332	0.04992003136306281	0.042085013393438585	0.2368082416400749	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6846923414682737	0.5305971472449269	0.8075702038339402	0.0929230857967315	0.5925826565297015	0.6293126428193343	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7017495711835334	0.5441134029369323	0.8222634508348794	0.0808080808080808	0.6203208556149733	0.6530612244897959	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	2.290039549301179	2.097032046510517	2.50168866416399	1.706549191597456	1.7898676501006154	2.3900226801800057	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.09475049360105325	0.12047365184098853	0.04107901376781966	0.08812424481343946	0.10107664170782847	0.25161470707486655	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6714341381185248	0.5179491892286633	0.7958438192401539	0.08753912455455058	0.5665120441235256	0.6219017689964232	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6964665523156089	0.549203014539149	0.8070500927643784	0.1101010101010101	0.6210338680926916	0.6586270871985157	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.985476872737953	1.9298134545345373	2.1308588944245943	2.0837334118634274	1.839749150472126	1.6649123613780017	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.018388288161551046	0.10408033757693073	-0.06842922198820867	0.2942643216579401	0.15070396198659783	0.03978228865139367	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6273748509379447	0.48766172853403644	0.7528607071929136	0.13379280311395567	0.5199321487556351	0.5440612550736414	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.6888507718696398	0.5432357791601489	0.8139764996907853	0.15656565656565655	0.5775401069518716	0.624860853432282	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.3912578471196833	1.4220781412045895	1.2744343603468602	1.2430701011744576	1.798309816516221	1.372498286780819	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.022966871272411826	0.01953829227331675	-0.11918593007281306	-0.044483639641512654	0.1927510727447852	0.0490716660628075	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6101728733603103	0.44641411015384785	0.7657308730513763	0.056069257575472445	0.4475836380664104	0.5162726719221323	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6434305317324185	0.4866194962833618	0.7797155225726654	0.07474747474747474	0.5183600713012477	0.5736549165120594	horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.8900033596962773	1.8521774329238876	1.934389274986775	1.7826830927934376	1.7585701971620735	1.9330671667532646	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.014904401931071868	0.07321786594749154	-0.04477820396421262	0.19852431178547103	0.07074121993407138	0.06838413603463636	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6311512618474204	0.48254593904597864	0.7732894695419942	0.12947058120610483	0.45365016941420616	0.5737735360216095	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6516638078902229	0.5019895837122728	0.7870129870129869	0.12222222222222222	0.48128342245989303	0.6174397031539889	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.9090194313720752	1.8931202399258515	1.93474001444996	1.882693144940473	1.7987741825957875	1.956273617717186	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.003499153773137385	0.07619661080416275	-0.07246094426229242	0.22833215416617206	0.08610467456074962	0.06281055875202174	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6099281592666959	0.47240758677714895	0.7392324919775882	0.1404781984166204	0.4745575672323943	0.5353620894819929	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6577015437392796	0.5191843404028278	0.7851576994434137	0.17474747474747473	0.5012477718360071	0.6155844155844156	horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
