measure	globqual	meanclassqual	classqual_blik_1	classqual_blik_3	classqual_blik_5	model	technique
DR	1.0632143296013046	1.0992068619010174	1.0480839317373296	1.1154766736519588	1.1340599803137634	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	-0.023634846181304247	-0.02905923792136875	-0.021466208122108078	-0.02793856319480762	-0.03777294244719055	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6925990507938202	0.3504377328175937	0.8394322268540637	0.099873232580748	0.11200773901796937	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7086868686868687	0.408361391694725	0.8379629629629629	0.17575757575757575	0.21136363636363636	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0716780274567284	1.1497909453579904	1.0394013340622454	1.1671772012650403	1.2427943007466857	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.03622099375536611	-0.019072509039406164	-0.0432353798629473	-0.017542454904287276	0.0035603076490160817	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6682963421665373	0.3603854167484001	0.8010383752410215	0.11548238880069174	0.16463548620348695	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7076094276094276	0.41333894500561164	0.835016835016835	0.1618181818181818	0.24318181818181817	blik.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	0.9676152836348028	1.0737976811133434	0.9231010320103185	1.1178825658758091	1.180409445453903	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.122083509205356	-0.032949310160672624	-0.15909092981550477	-0.007456438216796413	0.0676994375502833	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6663648445911443	0.3403803055720218	0.8062278333656727	0.10256367203570357	0.11234941131468912	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.7075420875420876	0.40690235690235693	0.8381313131313132	0.13636363636363635	0.24621212121212122	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.01693362320574	1.0493400934615391	0.9986883830912117	1.2119036638010556	0.9374282334923499	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.07188133246936426	-0.044857282691895296	-0.08831661017202408	0.12975895668612272	-0.17601419458978454	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6595675455482447	0.34028779797850134	0.7951395345000558	0.1526208699272106	0.07310298950823754	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.694006734006734	0.3965319865319865	0.8209595959595959	0.2012121212121212	0.16742424242424242	blik.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.048425738292082	1.0054437361234112	1.065281600073206	1.0248221873201715	0.9262274209768561	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	9.587625020349703e-4	-0.0458994457808211	0.019114705216904764	-0.017732904979525517	-0.13908013757984256	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6371959076449019	0.307584280959561	0.7779910408444419	0.08709116548371362	0.05767063655052744	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.671986531986532	0.3584231200897868	0.8057239057239057	0.15515151515151515	0.1143939393939394	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.067744434914616	1.032033865307046	1.0826678322190895	1.018722556462303	0.9947112072397453	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	-6.453802843172674e-5	-0.02655316074950753	0.010601026951966264	-0.023499144748257778	-0.06676136445223108	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6608203204739728	0.3271552460203525	0.8037107553535799	0.0923072977699849	0.08544768493749264	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6892255892255892	0.369320987654321	0.8265993265993266	0.1321212121212121	0.14924242424242423	blik.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	0.9894421763624045	1.0223384134918299	0.9777757046960904	0.968014424131353	1.121225111648046	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.09779360143320859	-0.047937902296401935	-0.11621675391906454	-0.10652111152749792	0.07892415855735666	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6435198488790126	0.30923231253832684	0.7865785974029198	0.07709033220221165	0.06402800800984908	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.6764983164983165	0.3616498316498316	0.8123737373737373	0.10666666666666666	0.1659090909090909	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.0071211976259258	1.0755854962588585	0.9772757401694938	1.1406042526365594	1.108876495970522	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	-0.09798569666243107	-0.010025667239537918	-0.13633001138032574	0.0735120212354808	0.032740988426231195	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6386871744467789	0.32240004818846585	0.7741742473699947	0.0985463560036298	0.09447954119177297	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6771717171717172	0.3770482603815937	0.8069023569023569	0.12727272727272726	0.19696969696969696	blik.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.0537964456535998	1.0607194939699685	1.0505414177085226	1.0754232647571575	1.056193799444225	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	-0.018046026482273957	-0.018949253360342252	-0.01824868940779538	-0.00068831317451531265	-0.037910757498716065	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6695876733781164	0.33137547878207985	0.8133477446158623	0.10385171704972591	0.07692697468065127	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6921838309292183	0.3639000605129637	0.8327607875994972	0.1096969696969697	0.14924242424242423	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.0490695331529072	1.0686497176198948	1.041470052659491	1.0585572754206132	1.10592182477958	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	-0.026535681234956674	-0.012681845023235175	-0.03206412110390464	-0.01495023332445493	0.008968819358654049	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6486344695134023	0.32455278004350513	0.7869926802090553	0.08709229910866374	0.09957336081279636	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6986917141898692	0.38095005353069866	0.8352744030163385	0.11818181818181818	0.1893939393939394	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	0.9984276324167276	1.0226221293031388	0.989006356220612	1.0111447207548503	1.067715310933954	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	-0.08314830493525151	-0.03893183454407645	-0.10098356367954749	-0.04004512668783148	0.02423318673514962	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6366784553071219	0.3061290633540982	0.7773269756585837	0.0790770874380509	0.06198312696565999	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.67359946326736	0.35327072569008056	0.8114788437369083	0.08242424242424243	0.1659090909090909	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0045736992689702	1.0437250763327932	0.9841163615634603	1.1928015373636638	0.9542573300712559	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	-0.07677120463469723	-0.038231039194496	-0.09777061465266762	0.13622783232760174	-0.15315033525842212	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6442215930723756	0.32382172790704483	0.7797244685973285	0.13034414567035935	0.061396569453446743	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6735323716873532	0.3784129311548666	0.799329702555509	0.1684848484848485	0.16742424242424242	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.126976709190288	1.1540009612062863	1.117859341733646	1.1119736420514374	1.2321698998337753	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.007152624428564144	0.005106365775833151	0.009182886428093473	-0.028654335410110403	0.03479054630951638	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6785151871289928	0.34369409257061073	0.8193233933961418	0.09661114641022263	0.11514773790546778	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7109834403514701	0.3973359195822964	0.844023569023569	0.13454545454545455	0.2134387351778656	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0899990818077756	1.1548668281834267	1.0632183392742427	1.1889717688151897	1.2124103764608478	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.02152247074388027	-0.007838604288595398	-0.02814415418616889	0.02616297481998377	-0.021534633499601077	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.7068894493868438	0.382980817186965	0.8436230749342887	0.12976171954895588	0.17555765707765028	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7367353835755323	0.44771775728297464	0.8595959595959596	0.19818181818181818	0.2853754940711462	blik.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	0.9819389836590509	1.0531920814727933	0.952844644593416	1.0817595108760953	1.1249720889488686	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.09625605626382812	-0.029203598200325746	-0.12345315676182513	-0.007338800587862799	0.043181162748710686	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6709644602464696	0.33708211836245844	0.8110952754772937	0.09848363888185961	0.10166744072822204	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
