measure	globqual	meanclassqual	classqual_spot_4	classqual_spot_1	classqual_spot_2	classqual_spot_3	classqual_headline	model	technique
DR	1.9313975188906733	2.722691469776321	2.2669395765891682	1.7235226697460198	1.2810337822543771	1.3688093335070766	6.973151986784964	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.07946813642036721	0.18123637544660753	0.31343090966269727	0.16473376836351591	-0.3104469059639057	-0.028020601476000148	0.7664847066467303	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.5862923199556286	0.5302793693739127	0.1809742245566189	0.7592941169910725	0.34334877628071264	0.42640631295478565	0.941373416086374	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6349056603773585	0.5925914085914086	0.30666666666666664	0.7734265734265734	0.4678787878787879	0.4597402597402597	0.9552447552447553	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.8036305716912513	2.4629328689715604	2.1957702822191316	1.627097769194892	1.252135593632729	1.3524212799078668	5.8872394199031834	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.04985786537617616	0.14411822868662122	0.23942336919854385	0.12199138639032267	-0.3030684804444383	-0.030894951389793576	0.6931398196784714	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.552824749495159	0.4728267474169918	0.11156575834170783	0.7576029577653395	0.3491574504321001	0.27850314653239666	0.8673044240134151	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6134648370497428	0.5464190254190254	0.2896969696969697	0.7865384615384615	0.43232323232323233	0.38857142857142857	0.8349650349650349	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.7934475555514926	2.8169541972094723	2.8318087200019844	1.3171834122103334	1.3899961734085005	1.2318942480947441	7.313888432331799	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.006404673228954875	0.16162285627458708	0.4810680615950596	-0.02017516471738597	-0.21233775037893288	-0.19066656837130636	0.7502257032455011	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.5065995533892425	0.45751708142465564	0.17326088413888824	0.7021800183210274	0.3009443764247428	0.17206234294698824	0.9391377852916314	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.5548027444253859	0.5101269841269841	0.32606060606060605	0.7346153846153846	0.3717171717171717	0.23012987012987013	0.8881118881118881	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.4055529713041328	1.9219312444917074	2.351763250883957	1.1077617087906642	1.2350259436894155	1.2736830374879788	3.641422281606521	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.0989179132683899	0.05294390795682043	0.39691541999223773	-0.11941021821226504	-0.26292083373506736	-0.2693629969653722	0.519498168704569	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.42845159089375906	0.39099343967945516	0.1237999369966076	0.5914959497848613	0.22158242115921342	0.1933088594909956	0.8247800309655979	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.4741852487135506	0.43819802419802417	0.2218181818181818	0.6353146853146853	0.2719191919191919	0.23116883116883116	0.8307692307692307	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
