measure	globqual	meanclassqual	classqual_haken_1	classqual_haken_2	classqual_haken_4	classqual_haken_3	classqual_haken_5	classqual_haken_6	model	technique
DR	1.7237093152374585	1.871205490509537	1.1438148463190492	1.4130212009511618	2.1273074765644613	2.020406212149422	1.8458782292545022	2.6768049778186254	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.03760260989739527	0.0499387760162639	-0.18965888879704065	-0.10960174515682498	-0.04932059730054439	0.3495616101574608	0.18560000764309706	0.11305226955143555	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.5347706583498381	0.4165134341315958	0.173423626888608	0.6247080841929431	0.30757263084880976	0.8058025429562348	0.24954637744693126	0.3380273424560479	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.5798728020950243	0.5089290645975137	0.2418732782369146	0.6331313131313131	0.3769230769230769	0.8083694083694084	0.5558441558441558	0.4374331550802139	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.7139261937029158	1.9469519374655448	1.1377656820850905	1.4123579975194822	2.3185538735578937	1.797478370300764	2.320802393272294	2.694753308057745	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.03153190160560459	0.06266879117672151	-0.2045556631639984	-0.09590575639185943	-0.005043460219526128	0.27357648795739586	0.3316936955661473	0.07624744331216987	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.5618156624528502	0.5039331058845897	0.16789839284693298	0.6309785310736641	0.4078071617604894	0.7576533765882488	0.7166992190059408	0.3425619540322624	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.5955854844743733	0.5502810142917095	0.30578512396694213	0.6157575757575757	0.4685314685314685	0.7948051948051948	0.674025974025974	0.4427807486631016	haken.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.758312068006063	2.05317673057874	1.2668773123159278	1.3181051110331878	2.5522833424195808	1.8009441743603025	1.4866287327952667	3.8942217105481722	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.019162582919705365	0.083372591759017	-0.16628094028538284	-0.22035267841580702	0.1846170139162181	0.28542998237872214	-0.03580384810717607	0.4526260210675277	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.5220133846021086	0.43628616404273546	0.21068094902931103	0.5530371496883787	0.2956406973390032	0.7913631445575954	0.15267143715589643	0.6143236064862281	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.566704077815189	0.5090827690827691	0.2606060606060606	0.5925252525252526	0.3706293706293706	0.7878787878787878	0.40649350649350646	0.6363636363636364	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.4896791234428444	1.716045437249944	1.1689471597477612	1.2602614159970404	1.9550659585387606	1.344267048146632	1.059574456075044	3.508156584994426	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.03586285530426374	0.03652400765263882	-0.17100037407812244	-0.18365832685565112	0.18715328068898449	0.033352346613833884	-0.1614512519233413	0.5147483714701294	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.4758514800090857	0.39425759320483317	0.16137454713992752	0.5530480017608725	0.3180367576989622	0.6468627806174511	0.05162682505369971	0.6345966469580858	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.5185933408155631	0.4692971971581597	0.26721763085399447	0.5795959595959596	0.386013986013986	0.6274170274170274	0.2571428571428571	0.6983957219251337	haken.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.8531900428175592	2.2725999068956733	1.2786511952103878	1.4339131184261058	1.5922625812211237	1.8356723217330408	1.7951256326245648	5.699974592158816	haken.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.06727023788977186	0.1131160449125616	-0.16589274453350442	-0.037171113648320486	-0.17637614871199497	0.2654245894791832	0.1485131142125743	0.644198572677432	haken.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
