measure	globqual	meanclassqual	classqual_heffen_1	classqual_heffen_2	model	technique
DR	2.957028485801536	3.0219430997421775	3.25697877090657	2.7869074285777855	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.5860039330150364	0.5943053628591244	0.6243622640187537	0.5642484616994952	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.939807843744036	0.9362798492125219	0.9235060759087641	0.9490536225162799	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.9345454545454546	0.9311593944154823	0.9188995215311004	0.9434192672998644	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	2.7843452176443217	2.8448003580373427	3.06368965946035	2.6259110566143353	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.5651950864669849	0.5742921421237416	0.6072297574326883	0.5413545268147949	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.919446295486975	0.9189371472367003	0.9170936794339816	0.9207806150394191	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.9290043290043289	0.9273869885024637	0.9215311004784689	0.9332428765264587	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	2.3507717981911616	2.395917914493017	2.559377990758354	2.23245783822768	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.5066602026442815	0.5198084524858605	0.567414184670888	0.472202720300833	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.9153586201022411	0.9178605578174732	0.9269192978209003	0.9088018178140462	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.9289177489177489	0.9279922159537242	0.9246411483253588	0.9313432835820895	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.5572477537372573	1.5124188856996938	1.350107466942998	1.6747303044563895	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.284966583090357	0.2737276743406347	0.2330350736950887	0.3144202749861808	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.7826577888646603	0.7779095666643693	0.7607177276633155	0.7951014056654231	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.8193073593073593	0.8094336927801185	0.7736842105263158	0.8451831750339213	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	2.633170337221852	2.6633272530159973	2.7725160860637637	2.554138419968231	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.5542548141515327	0.5595885452133689	0.5789003300924307	0.5402767603343069	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.9209638795406422	0.9154645275203077	0.8955530805501313	0.9353759744904843	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.9329004329004329	0.9290937656216525	0.915311004784689	0.942876526458616	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	2.412782485111634	2.4284670353992546	2.4852559243716734	2.3716781464268353	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.5202502259431523	0.5232578385020807	0.5341474701809596	0.5123682068232018	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.9312752566326236	0.9324045514693506	0.9364933776023276	0.9283157253363735	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.9284848484848485	0.9254784688995216	0.9145933014354067	0.9363636363636364	heffen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.9736966567801413	1.978694209139893	1.9967887952700276	1.960599623009758	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.43838385776184885	0.4413411259078788	0.4520484760917804	0.4306337757239772	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.9339105649557365	0.9319921082519602	0.9250459719107013	0.9389382445932193	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.9272727272727272	0.9219917160608441	0.9028708133971292	0.941112618724559	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.5205441469272059	1.4978715726418905	1.4157812174709217	1.5799619278128594	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.280598480819363	0.2735244196568497	0.24791143958568093	0.2991373997280185	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.7758370426740965	0.764294546388213	0.722502749491049	0.8060863432853771	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.8065800865800866	0.7913322145254589	0.7361244019138756	0.846540027137042	heffen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	2.4757098051291924	2.5074550892799508	2.620984834293678	2.393925344266223	heffen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.5341152483240147	0.5403417946555789	0.5626096128921895	0.5180739764189681	heffen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.9527791398229724	0.9548639960072509	0.9623200071069589	0.9474079849075429	heffen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.9470917707884533	0.9451656920077973	0.9382775119617225	0.952053872053872	heffen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	2.2978133085332786	2.316239671745902	2.3821373435740987	2.2503419999177057	heffen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
