measure	globqual	meanclassqual	classqual_helpen_1	classqual_helpen_2	classqual_helpen_4	classqual_helpen_3	classqual_helpen_5	model	technique
DR	1.0928598571011978	1.0927129771322195	1.0736129395822733	1.0357596278815409	0.9537746065808057	1.2887927276501316	1.1116249839663463	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	-0.07410624579898291	-0.07652046644798538	-0.09751228050500414	-0.0979442007371315	-0.2126917304133522	0.08220374401083681	-0.05665786459527589	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.30278035701716477	0.24164736148633206	0.41281622250885613	0.29476152798853245	0.075554964069347	0.330442881308736	0.09466121155618876	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.36494755244755245	0.31384483221803794	0.4880382775119617	0.31582491582491584	0.16942148760330578	0.372972972972973	0.22296650717703348	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0989204426515387	1.1044090531519943	1.0620103787325905	1.039648573285455	0.967189612996566	1.324040640574572	1.1291560601707886	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.07399224291391522	-0.07811960720082703	-0.09376399461066745	-0.10342251119289328	-0.2220477779024627	0.09230305979171653	-0.06366681208982826	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.3210394944751799	0.25212251685026815	0.47070702545929	0.2800438648372034	0.07826615150091716	0.3309967541709746	0.10059878828295563	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.3722027972027972	0.3245796775461847	0.49736842105263157	0.32525252525252524	0.18677685950413223	0.3493857493857494	0.26411483253588514	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.2069838560490573	1.3177534676312221	1.1467999601613312	0.9984688763193481	0.9285050585314824	1.2648077254039045	2.250185717740045	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.06910728304666029	-0.04314891944998326	-0.039375743183840226	-0.1608779549239935	-0.2913214010520112	-0.08478097438790187	0.3606114762978305	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.3694875517049466	0.34776205177787445	0.4982665607829221	0.2440885841721589	0.07303834273366645	0.3695892442709833	0.5538275269296417	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.4243006993006993	0.39724618920791166	0.5339712918660287	0.35589225589225587	0.12644628099173555	0.40245700245700244	0.5674641148325359	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0723431622939323	1.0859539419392974	1.0123521294891626	1.0569656919443948	0.9234493178007659	1.2451963733647948	1.191806197097369	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.11139492164225645	-0.10022479380751449	-0.15245389678755494	-0.16572674670503595	-0.25669906870671094	0.08953428710064207	-0.015778543938912717	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.2633454317586797	0.20730823234328147	0.3695431991323708	0.28380406078673565	0.06388646031978062	0.21626688189741128	0.10304055958010895	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.31756993006993006	0.2711158570488714	0.42105263157894735	0.31851851851851853	0.10991735537190082	0.2678132678132678	0.23827751196172248	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.0990951750076279	1.0978071976717876	1.0701164971817092	1.0405889356342157	0.9636872633148496	1.3339887636815142	1.0806545285466496	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.06500640087064234	-0.07270892502339776	-0.09024482070752664	-0.08195590459324906	-0.20136086723448404	0.11125058549585384	-0.10123361807758295	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.31023145002119307	0.24598210829717504	0.4438267346943997	0.2511491555650661	0.07116058668771073	0.38100084631973885	0.0827732182189598	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.3769230769230769	0.3296503245307073	0.48636363636363633	0.31717171717171716	0.16446280991735537	0.43144963144963144	0.24880382775119617	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.1216935690471277	1.1309429908673412	1.0830145936509417	1.0565335323213554	0.9902262253349482	1.3439718935582896	1.1809687094711705	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	-0.06855505688616503	-0.0719380449867611	-0.08287911977706612	-0.10353440609574986	-0.2328248588261077	0.09005283658568418	-0.030504676820565943	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.33333118139700846	0.2694016198559977	0.47647210718864763	0.27261995442492465	0.10402046525368923	0.37372566299286825	0.12016990941985872	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.40157342657342654	0.35589011804322807	0.5232057416267942	0.31616161616161614	0.23057851239669422	0.45208845208845205	0.2574162679425837	helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.1081952703876499	1.1410735024682208	1.0543744382904034	1.0432112489903635	0.9300155830300598	1.2611583366580157	1.4166079053722616	helpen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
