measure	globqual	meanclassqual	classqual_herroepen_2	classqual_herroepen_1	model	technique
DR	1.3395420243376153	1.359986187885079	1.4668534064286394	1.2531189693415186	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.1937043248673887	0.20471215655205452	0.26225309490371684	0.1471712182003922	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.7782215388377143	0.7743412480034119	0.7540579095513765	0.7946245864554472	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.7742292490118577	0.7683527052964303	0.7376344086021506	0.79907100199071	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.3338657804965601	1.3511649980757778	1.4415927263307784	1.260737269820777	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.19889978275186146	0.20798891602360986	0.2555002944895674	0.16047753755765232	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.8113958088852131	0.8056690770513352	0.7757338879197008	0.8356042661829696	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.8104347826086956	0.8064045208382387	0.7853372434017595	0.827471798274718	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.3705295409148857	1.3916530599331205	1.5020714548011667	1.2812346650650746	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.22484327381866043	0.23642682461229445	0.296977203760836	0.17587644546375292	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.848877881813152	0.8473670964859352	0.8394698095482114	0.8552643834236592	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.8418181818181818	0.8382109296401739	0.8193548387096774	0.8570670205706702	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.3743852180901137	1.413592310517667	1.6185384754798777	1.2086461455554562	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.21464682230670082	0.23257400545581236	0.32628428100798623	0.13886372990363846	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.8466560447820818	0.8426803891219581	0.821898552716766	0.8634622255271501	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.8265612648221343	0.8222331628029768	0.7996089931573802	0.8448573324485733	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.3626744359428846	1.3806696787766608	1.4747357208623084	1.286603636691013	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.21319029774957102	0.22202159279405181	0.26818518052656515	0.1758580050615385	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.7631600193644332	0.7636673939975451	0.7663195795797213	0.7610152084153691	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.7870355731225296	0.7830268781528494	0.7620723362658847	0.8039814200398142	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.3261539513339757	1.341432992984442	1.421300710702788	1.2615652752660957	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.19898976275369923	0.20623074937734504	0.2440813612736753	0.16838013748101474	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.8021689104667771	0.7965366861581161	0.76709551363557	0.8259778586806622	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.7919367588932806	0.7878630905237922	0.7665689149560118	0.8091572660915727	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.339803823496126	1.3605887809259798	1.4692374220365791	1.2519401398153807	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.20835430577649203	0.2184714740441612	0.2713566718069773	0.1655862762813451	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.8382359248199243	0.834802792162842	0.8168568714553675	0.8527487128703167	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.8374703557312253	0.8326148225842127	0.8072336265884653	0.8579960185799602	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.34229006129532	1.3747793092981424	1.5446094693128958	1.204949149283389	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.20219344223569136	0.21760771858365896	0.29818234494803514	0.13703309221928278	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.8479635507660421	0.8402199690041389	0.7997421552487353	0.8806977827595425	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.8256916996047431	0.8205927892059279	0.793939393939394	0.8472461844724618	herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.3807851241501956	1.4036055539285814	1.5186998954195705	1.2885112124375924	herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.22019647182735763	0.23101094538178052	0.285553507656261	0.17646838310730004	herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.7654237928964601	0.759073059863421	0.7270432758707014	0.7911028438561405	herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.7709247648902822	0.7647369494433778	0.7335288367546432	0.7959450621321125	herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.374624146224744	1.3953118655797523	1.4996499284137073	1.2909738027457975	herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.22321331349353607	0.23255718411126616	0.2796827924441659	0.18543157577836644	herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
