measure	globqual	meanclassqual	classqual_hoop_1	classqual_hoop_2	classqual_hoop_3	model	technique
DR	1.7476539786897534	2.1617583397254423	2.18897112921748	2.8785363665772405	1.4177675233816063	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.18415604517017753	0.2977444977362365	0.3182665074795143	0.47799477602407964	0.09697220970511554	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8696809455812644	0.7824504163628165	0.6420152356258687	0.8002463699684329	0.905089643494148	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8718212020537602	0.7650992611391415	0.6064171122994653	0.7704160246533128	0.9184646464646464	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6594278526432442	2.016268476406248	1.8697497630922886	2.846900525333765	1.3321551407926908	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.14538620850977024	0.24249409403695432	0.20126998854629413	0.47022956081851897	0.05598273274604987	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8843037708273006	0.7348165514520257	0.41508252912941684	0.8643889828444652	0.9249781423821953	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8882512836001208	0.7476063660869244	0.47914438502673795	0.8289676425269645	0.9347070707070707	hoop.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.6128044159506922	2.2181448112289956	1.8915248054873113	3.725038908656945	1.0378707195427304	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.0596128659503776	0.19663640742007418	0.09694236555412943	0.5700125923025753	-0.07704573559648215	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.8727501562078777	0.7069196378160048	0.2857659642324744	0.9339375779932371	0.9010553712223027	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.8820900030202355	0.7261691021212456	0.36684491978609624	0.8936825885978428	0.917979797979798	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.9624978499858003	2.092310509907067	1.3250357839749431	3.2890981823780505	1.6627975633682084	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.21025146178210638	0.23832019641555444	0.005925530625678072	0.5804092302044831	0.12862582841650216	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.8755941280415653	0.6553928125304033	0.13057721153633742	0.9137123850479089	0.9218888410069636	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8868015705225007	0.6886194749086075	0.2374331550802139	0.8946070878274268	0.9338181818181818	hoop.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	2.019640307018919	2.3461909759874136	1.913820435264758	3.4800754568899994	1.6446770358074836	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.2614500190846011	0.2851932160387343	0.1626585070810428	0.48178310607725194	0.21113803495790817	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.917930592348189	0.7824593521843587	0.5342131485842813	0.847871201940402	0.9652937060283928	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.9197825430383569	0.7883766075510841	0.532620320855615	0.8705701078582434	0.961939393939394	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.9709481870711718	2.3506184600256455	1.8761652255360648	3.633552345164979	1.5421378093758926	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.22686616502319817	0.2676925399749218	0.1405842961057002	0.5009892483199033	0.16150407549916201	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.9097487037202272	0.7665948428036038	0.5131284737357258	0.8246170875639349	0.9620389671111506	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.9129568106312292	0.7843421385674626	0.5508021390374331	0.8437596302003082	0.9584646464646465	hoop.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	2.1619485853267855	2.9491698680924268	2.0429283882831286	5.512132722988764	1.2924484930053872	hoop.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.18470993407002997	0.2325535275168221	-0.0046220904610629	0.616489974305283	0.08579269870624621	hoop.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9080954776025907	0.7309806995328831	0.317019314528688	0.9285253976165613	0.9473973864534	hoop.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9227423739051646	0.8082919994226075	0.5582887700534759	0.9140215716486902	0.9525656565656565	hoop.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	2.100960817296041	2.18705532985708	1.2900978080435206	3.467065045628725	1.804003135898994	hoop.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.24265188546303812	0.25311621707364634	0.015780104116840964	0.5694757068917703	0.1740928402123277	hoop.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
