pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
3.688956	2	4.584307	2	36	-geen/noun
5.4553976	1	NA	NA	3	-getrokken/noun
1.9624318	1	2.8665657	1	100	-handel/noun
3.3635337	1	NA	NA	26	-handelaar/noun
1.5532568	2	2.4510756	2	301	-het/noun
2.2418694	1	3.1384208	1	76	-hij/noun
6.55401	1	NA	NA	1	-ie-leven/noun
6.55401	1	NA	NA	1	-ie_leef/verb
0.7124967	1	NA	NA	348	-in/noun
5.4553976	1	NA	NA	3	-journalistiek/noun
6.55401	1	NA	NA	1	-metalen/noun
2.4301066	1	3.3370733	1	62	-nog/noun
3.3351343	1	NA	NA	25	-ondanks/noun
3.9185305	1	NA	NA	14	-ook/name
5.8608627	1	6.7710605	1	2	-reglementering/noun
5.4553976	1	NA	NA	3	-rijden/noun
-0.043476634	2	NA	NA	1519	-ruiten/noun
0.37399343	1	NA	NA	483	-schoppen/noun
1.274366	1	2.1816387	1	197	-schoppenH/noun
5.4722047	1	NA	NA	3	-schouder/adj
5.8608627	1	NA	NA	2	-snuif/verb
4.4745684	1	NA	NA	8	-steden/noun
6.55401	1	7.4642076	1	1	-stof/noun
4.4745684	1	NA	NA	8	-terug/adv
6.55401	1	NA	NA	1	-tevergeefs/noun
3.3351343	1	NA	NA	25	-uitstoot/name
3.6636384	1	NA	NA	18	-uren/noun
3.3133729	1	4.206111	1	26	-vaak/noun
3.0276496	1	NA	NA	34	-waar/noun
5.8608627	1	NA	NA	2	-wiens/noun
3.7814214	1	NA	NA	16	-zeg/noun
-0.5300319	5	-1.2365355	1	6065	..../punct
-0.5731088	81	-0.7721871	27	103573	.../punct
-0.05693589	7	-0.004614744	3	5416	../punct
-0.039941583	4	NA	NA	3011	./name
0.12662625	44570	0.1737167	18891	28225482	./punct
2.9816644	1	3.884167	1	36	.De/noun
-0.53603345	10	-0.8783543	3	13088	//name
0.17405704	1	NA	NA	614	//num
-0.030826205	60	0.22350475	32	45910	//punct
-1.3364977	1	NA	NA	2720	0,2/num
2.0246415	1	NA	NA	94	0,34/num
-1.569948	1	-0.67029655	1	3424	0,5/num
-0.32271883	2	NA	NA	1971	0,6/num
-0.43799445	2	-0.23189135	1	2210	0,8/num
-0.058904234	2	0.14608264	1	1512	0,9/num
1.6651658	1	NA	NA	136	0,99/num
-1.667321	1	NA	NA	3803	0-0/noun
-1.6843287	1	NA	NA	3818	0-1/name
-2.3118074	3	NA	NA	21461	0-1/num
-1.5459503000000001	4	NA	NA	13333	0-2/num
-0.862203	2	NA	NA	3360	0-3/name
-1.7284287	2	NA	NA	8010	0-3/num
2.4697158	1	NA	NA	60	0-3_nederlaag/noun
-1.4189558	1	NA	NA	2942	0-4/num
-0.69431615	1	NA	NA	1424	0-6/num
4.4745684	1	5.384766	1	10	0.02-0.45u./noun
2.2983973	1	NA	NA	96	0.04-1.00u./noun
4.944572	1	5.8547697	1	5	0.10-1.10u./noun
1.688786	1	NA	NA	132	0.15/noun
1.5890697	2	1.8025501	1	288	0.30/noun
2.4180439	1	NA	NA	63	0.40/noun
-4.2352505	1	-3.331831	1	49075	0/num
1.5271734	2	NA	NA	323	00.15/num
4.0163527	1	NA	NA	13	00.50/name
6.55401	1	NA	NA	1	0009/num
6.55401	1	NA	NA	1	0049/7651.91.810.0/num
4.6593933	1	NA	NA	7	009/num
1.2302686	1	NA	NA	207	01/name
5.8608627	1	6.7710605	1	2	010-2176738/name
2.7720957	1	NA	NA	48	011-22.41.61/num
4.4317484	1	NA	NA	10	014/24.42.00/num
6.55401	1	NA	NA	1	014/244.200/num
3.3843246	1	NA	NA	30	014/40.72.90/num
6.55401	1	NA	NA	1	015-215.05.47/num
6.55401	1	NA	NA	1	016-57.00.09/num
6.55401	1	NA	NA	1	016/26.76.06/num
2.493567	1	NA	NA	61	016/num
3.6043217	1	NA	NA	20	02-245.97.00/num
6.55401	1	NA	NA	1	02-529.99.45/num
6.55401	1	NA	NA	1	02-529.99.46/num
4.6444674	1	NA	NA	7	02-646.03.70/num
3.9513204	1	4.861518	1	14	02/504.03.90/num
6.55401	1	NA	NA	1	02/569.27.74/num
3.8560102	1	NA	NA	16	02/646.06.10/num
3.2959135	1	NA	NA	26	02/649.86.65/num
5.8608627	1	NA	NA	2	0294.285021/num
6.55401	1	NA	NA	1	03/669.81.29/num
3.9890606	1	NA	NA	13	04-07/num
-0.12095107	3	-0.32301876	1	2436	04/name
6.55401	1	NA	NA	1	0474-99.64.04/num
6.115755	1	NA	NA	2	0474/99.64.04/num
7.0648355	1	NA	NA	1	0497-30.67.37/num
2.332299	1	3.2210839	1	71	050/63.04.30/num
6.55401	1	NA	NA	1	050/81.21.94/num
5.463766	2	5.6118236	1	8	051-54.52.44/num
6.55401	1	NA	NA	1	051-58.16.69/num
2.3935657	1	3.293674	1	65	051/26.87.40/num
3.7091007	1	NA	NA	18	057-34.66.76/num
