_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.9971148901946902	-0.11334240364786229	NA	NA	BOW	BOW	bound	433	lex	10_10	1	weight	5000	5000	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.2865233855484755	-0.6524322514263343	NA	NA	BOW	BOW	bound	433	lex	10_10	1	weight	5000	5000	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0648216843331317	-0.03540675030157691	NA	NA	BOW	BOW	bound	433	lex	10_10	1	weight	FOC	311	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.025232762725182	-0.04777507284366385	NA	NA	BOW	BOW	bound	433	lex	10_10	1	weight	FOC	433	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.1759725441537923	-0.017249932295068993	NA	NA	BOW	BOW	bound	433	lex	10_10	1	selection	5000	5000	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.4373821002980762	-0.4691161189029608	NA	NA	BOW	BOW	bound	433	lex	10_10	1	selection	5000	5000	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.1436226591916068	-0.0635602375682277	NA	NA	BOW	BOW	bound	433	lex	10_10	1	selection	FOC	311	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.1218585974458644	-0.08577497197586378	NA	NA	BOW	BOW	bound	433	lex	10_10	1	selection	FOC	433	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.8571703871222487	-0.4148129042420457	NA	NA	BOW	BOW	bound	981	lex	10_10	1	no	5000	5000	nav	4_4	NA	357	spoor
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.9625851827906762	-1.0883520752824989	NA	NA	BOW	BOW	bound	981	lex	10_10	1	no	5000	5000	all	4_4	NA	357	spoor
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.728152334430336	-0.3567230602512795	NA	NA	BOW	BOW	bound	981	lex	10_10	1	no	FOC	732	nav	4_4	NA	357	spoor
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.7420593050292408	-0.40999187693669487	NA	NA	BOW	BOW	bound	981	lex	10_10	1	no	FOC	981	all	4_4	NA	357	spoor
spoor.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.26173657799498073	-0.32492298649248547	NA	NA	BOW	BOW	bound	597	all	10_10	1	weight	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.5125553152476726	-0.9378313685213866	NA	NA	BOW	BOW	bound	597	all	10_10	1	weight	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08378220637963212	-0.10549409741406107	NA	NA	BOW	BOW	bound	597	all	10_10	1	weight	FOC	311	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.07028443235329203	-0.15044228871720908	NA	NA	BOW	BOW	bound	597	all	10_10	1	weight	FOC	597	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.302248254606574	-0.8301378014849488	NA	NA	BOW	BOW	bound	597	all	10_10	1	selection	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.5316971229689542	-1.3368344170675996	NA	NA	BOW	BOW	bound	597	all	10_10	1	selection	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.03508099785427638	-0.537925026422971	NA	NA	BOW	BOW	bound	597	all	10_10	1	selection	FOC	311	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.02716095808891348	-0.612686206784117	NA	NA	BOW	BOW	bound	597	all	10_10	1	selection	FOC	597	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.0745231332277003	-1.4733006503839285	NA	NA	BOW	BOW	bound	1362	all	10_10	1	no	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.00704431342420003	-2.133916137014144	NA	NA	BOW	BOW	bound	1362	all	10_10	1	no	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.3396224185952136	-1.2356799720642666	NA	NA	BOW	BOW	bound	1362	all	10_10	1	no	FOC	732	nav	4_4	NA	358	spoor
