_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	283	NA	NA	1	weight	-0.10916446655245128	0.13476329923190286	5000	5000	nav	4_4	0.17001006821326844	276	harden
harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	283	NA	NA	1	weight	-0.12656155351065074	0.2148279142653631	5000	5000	all	4_4	0.19253888628870916	276	harden
harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	283	NA	NA	1	weight	-0.3985807451536917	0.2498311547361421	FOC	143	nav	4_4	0.14057323752022174	276	harden
harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	283	NA	NA	1	weight	-0.22422278797469244	0.15353185147661613	FOC	283	all	4_4	0.16792237433769702	276	harden
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	277	harden
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	277	harden
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	10_10	1	weight	NA	NA	FOC	221	nav	4_4	NA	277	harden
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	10_10	1	weight	NA	NA	FOC	326	all	4_4	NA	277	harden
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	277	harden
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	277	harden
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	10_10	1	selection	NA	NA	FOC	221	nav	4_4	NA	277	harden
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	10_10	1	selection	NA	NA	FOC	326	all	4_4	NA	277	harden
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	691	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	691	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	279	harden
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	691	lex	10_10	1	no	NA	NA	FOC	491	nav	4_4	NA	279	harden
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	691	lex	10_10	1	no	NA	NA	FOC	691	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	417	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	417	all	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	417	all	10_10	1	weight	NA	NA	FOC	221	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	417	all	10_10	1	weight	NA	NA	FOC	417	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	417	all	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	417	all	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	417	all	10_10	1	selection	NA	NA	FOC	221	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	417	all	10_10	1	selection	NA	NA	FOC	417	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	896	all	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	896	all	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	279	harden
