	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
huldigen.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	selection3		dependency		bound	789			1	no			FOC	333	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	selection3		dependency		bound	789			1	no			FOC	789	all	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	weight		dependency		bound	460			1	selection			5000	5000	nav	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	weight		dependency		bound	460			1	selection			5000	5000	all	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	weight		dependency		bound	460			1	selection			FOC	169	nav	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	weight		dependency		bound	460			1	selection			FOC	460	all	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	weight		dependency		bound	789			1	no			5000	5000	nav	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	weight		dependency		bound	789			1	no			5000	5000	all	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	weight		dependency		bound	789			1	no			FOC	333	nav	4_4		229	huldigen
huldigen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	weight		dependency		bound	789			1	no			FOC	789	all	4_4		229	huldigen
huldigen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav		group1	dependency		bound	184			1	weight			5000	5000	nav	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall		group1	dependency		bound	184			1	weight			5000	5000	all	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav		group1	dependency		bound	184			1	weight			FOC	68	nav	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall		group1	dependency		bound	184			1	weight			FOC	184	all	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav		group1	dependency		bound	184			1	selection			5000	5000	nav	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall		group1	dependency		bound	184			1	selection			5000	5000	all	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav		group1	dependency		bound	184			1	selection			FOC	68	nav	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall		group1	dependency		bound	184			1	selection			FOC	184	all	4_4		209	huldigen
huldigen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav		group1	dependency		bound	266			1	no			5000	5000	nav	4_4		224	huldigen
huldigen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall		group1	dependency		bound	266			1	no			5000	5000	all	4_4		224	huldigen
huldigen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav		group1	dependency		bound	266			1	no			FOC	92	nav	4_4		224	huldigen
huldigen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall		group1	dependency		bound	266			1	no			FOC	266	all	4_4		224	huldigen
huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav		group2	dependency		bound	261			1	weight			5000	5000	nav	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall		group2	dependency		bound	261			1	weight			5000	5000	all	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav		group2	dependency		bound	261			1	weight			FOC	109	nav	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall		group2	dependency		bound	261			1	weight			FOC	261	all	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav		group2	dependency		bound	261			1	selection			5000	5000	nav	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall		group2	dependency		bound	261			1	selection			5000	5000	all	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav		group2	dependency		bound	261			1	selection			FOC	109	nav	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall		group2	dependency		bound	261			1	selection			FOC	261	all	4_4		225	huldigen
huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav		group2	dependency		bound	392			1	no			5000	5000	nav	4_4		228	huldigen
huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall		group2	dependency		bound	392			1	no			5000	5000	all	4_4		228	huldigen
huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav		group2	dependency		bound	392			1	no			FOC	172	nav	4_4		228	huldigen
huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall		group2	dependency		bound	392			1	no			FOC	392	all	4_4		228	huldigen
