_id	goedkoop.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.x	goedkoop.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.y	goedkoop.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	goedkoop.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	goedkoop.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	goedkoop.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	goedkoop.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.x	goedkoop.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.y	goedkoop.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav.x	goedkoop.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav.y	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	goedkoop.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall.x	goedkoop.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall.y	goedkoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav.x	goedkoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav.y
BMW/name	-2.33962140799359	2.1518988539384774	0	0	-20.98614173545571	0.9631890875993506	2.777337904273559	-0.060806898183450024	13.645963503015322	30.749014907310197	-25.4424862765449	-23.215752866387856	0	0	0	0
Brussel/name	-10.843590764824965	-5.42300225638582	0	0	20.790500056796944	-7.349682885903059	-2.216840008886219	4.195178340022585	-49.08422718466437	-32.45574574615739	-19.586926082648276	-16.075859938084044	0	0	0	0
Gill/name	-1.7177368261332693	-6.618529235723175	0	0	0	0	-3.90505624378073	7.101410943352785	18.88761845065948	22.64215730280947	-32.46275380275851	-12.99583854248172	0	0	0	0
Kinepolis/name	-10.931644500851878	-5.421468874937157	0	0	0	0	-6.805628023853395	2.9240585493624853	-38.15297782147258	-29.16356323047872	-18.627713249495475	-16.09488285794631	0	0	0	0
Konmar/name	4.020524594898741	-7.855469306056693	0	0	0	0	7.135243847967689	-1.5660137615394456	29.535813506909896	14.49031729000229	21.767398842119007	11.061185348927323	0	0	0	0
Unilever/name	1.8709006758863682	-4.882646502231964	0	0	0	0	0.9744761121090045	0.7012826061530236	-41.82348045231533	-28.064716460575088	14.446712528320278	8.378243007385038	0	0	0	0
aandeel/noun	-6.961761757419384	0.48839791211220707	18.55081580317959	-5.043183842061568	16.1954528226078	-23.745927561007328	0.9976338380179455	0.4060288657512167	-39.48647013580333	-24.079719241786506	-11.070267248110978	-8.159628945566219	-1.1262430529963003	12.803596545004858	-18.9314523075985	19.074072559030114
aanzienlijk/adj	-3.3590158161558996	-0.050037353512627405	5.716389274574164	-8.65986861325084	1.6740820895189643	6.259511663708432	1.5841640906693133	-0.49396295532625784	-30.30952823346474	-2.1788349530786135	-13.488680256030008	2.3968337428337043	-2.9222432758225727	10.331532588756188	-11.758154610437506	14.116787783110821
abonnement/noun	-8.222894875644402	-3.1291207984002054	10.942051559634983	1.5985454761078837	18.298910063461804	-10.854961538444869	2.9214914912580556	3.012360594666819	-0.393475593002331	37.54627043004467	-4.078713042486954	-20.091784370011762	5.483469596477906	7.32242035739329	-26.804872716192	-9.913902035683227
alles/noun	4.490584621466005	11.068303237844086	-4.4048203371326276	-25.55431364154719	-6.107581238038681	26.018333664119996	-5.4701512229587586	-5.084109415647031	-16.12741716123808	28.77428214800307	-18.40086113714121	23.970996162819148	6.601933123842342	-17.69471843042598	25.660967347420094	7.041406092383987
alternatief/noun	0.9388541789071616	1.277571190081708	-6.36831418903592	-7.2406642327717226	-6.822429897348702	16.618512296501148	-3.7575368726377625	-2.266442105218688	8.622435973463324	-21.004835511872162	-2.302498799209452	11.069763480590646	-1.4823805471711562	-17.905663393028405	13.088793800367744	1.661890700088865
amusement/noun	6.811344875140872	-5.06727540421222	1.1279543446960154	2.55278984137586	-28.801416379038486	3.4322615371075114	-5.709183805678356	1.0627121744697345	10.81415671190812	-29.311908211753956	25.5078240044172	16.3000589632743	13.552262926030727	-8.733709878399686	-18.98177173276111	-11.862313182175326
antibioticum/noun	3.3875560886741707	-0.20384292260610437	-10.256370435258331	5.978829740765689	-13.800215074966298	2.536332319502398	3.5710414144649008	5.776791227014446	35.466998465425554	-28.934627319454282	9.112439434978578	12.59423478238647	9.58961676025466	9.381202729573605	2.421064111091365	-2.816805416938203
appartement/noun	-6.47892274561463	-8.001359225667548	14.14642183225306	11.88522704240949	-1.529589451472288	-18.470224405758927	4.493853087120978	2.4529959169725766	24.74014905361709	29.58310353988192	26.271115841318423	-22.02430778221327	4.792633515703489	3.498029604559342	-0.6154115634615117	14.665296100153453
arbeid/noun	-2.38789812949553	-3.4920977967392033	-7.084156795973733	18.638902419871467	10.427751851595918	4.89707227990374	7.21376227991541	-1.8309236163878315	-22.526652309614	-16.865213485846983	-6.4251569195146985	-4.415188036478059	16.867020153654128	1.336744353074276	20.755507683637784	-15.071741634462306
arbeid_kracht/noun	-2.526618283375284	-3.0377645076283826	-6.94092515470698	18.641987721469473	10.65472218888796	5.095951461125856	2.603018399890102	4.635127380986657	-22.35783596672807	-20.231898951338778	-6.918102061869671	-3.3384794400885673	9.81791440740672	7.61397429754493	20.07436484994185	-16.044070721243557
artikel/noun	4.844417451301994	-7.050971323930886	1.275420570789642	7.4821447143353215	-9.578573057210217	-7.569712559480787	3.542433486871904	0.8933709942716558	46.05652626197204	-8.50029510833572	19.32821968175251	6.402035327292084	1.4005195796542274	7.031510291343677	-13.865257284930346	-11.79239366516785
bedrijf/noun	-0.054231432300211796	-3.7431438710195875	5.1163225476973535	-3.3014568833557876	-2.502855991749969	-9.48729432175806	0.9855201164037175	-1.7101872301027792	-12.240656147222994	-15.61360016014026	12.977399617721936	5.766075339439758	-1.8989737420278563	3.563241609262987	-11.623985219692617	2.264684868845027
bedrijf_investering/noun	-8.893476843024235	1.8798654639336205	24.268092133068212	-5.2745369528658665	9.02046616425321	-23.606101333658668	0.023094537126616875	0.8076898306263971	-33.58432958309093	-15.533200263216125	10.022960004094601	-32.717160146327494	-4.494414346711356	17.465464693558477	-14.62491197866605	21.49096911395568
bel/verb	-7.763627354971352	-3.970288474140208	0	0	0	0	-4.260610506869719	0.4171407287840497	14.315204016176454	-36.426597108856264	12.038430154006232	26.52051572232432	-1.6116319629769493	-12.771940671332064	-26.990859648509442	-13.750662903203299
