_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
harden.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.9511397518704549	-0.631175760642259	NA	NA	BOW	nobound	221	lex	3_3	1	weight	5000	5000	all	4_4	NA	273	harden
harden.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.8375488890854715	-0.45768303316814196	NA	NA	BOW	nobound	221	lex	3_3	1	weight	FOC	145	nav	4_4	NA	273	harden
harden.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.8138881646251354	-0.40541075110920716	NA	NA	BOW	nobound	221	lex	3_3	1	weight	FOC	221	all	4_4	NA	273	harden
harden.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	0.8527255314712838	-0.4077846400593415	NA	NA	BOW	nobound	221	lex	3_3	1	selection	5000	5000	nav	4_4	NA	273	harden
harden.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	1.0528072496792231	-0.6946386071048937	NA	NA	BOW	nobound	221	lex	3_3	1	selection	5000	5000	all	4_4	NA	273	harden
harden.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.8738255019264158	-0.40517699123106926	NA	NA	BOW	nobound	221	lex	3_3	1	selection	FOC	145	nav	4_4	NA	273	harden
harden.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.7883644763695504	-0.35064435480662065	NA	NA	BOW	nobound	221	lex	3_3	1	selection	FOC	221	all	4_4	NA	273	harden
harden.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	0.9712066388747721	-0.41876414168809456	NA	NA	BOW	nobound	259	lex	3_3	1	no	5000	5000	nav	4_4	NA	276	harden
harden.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	1.2584294930969664	-0.725420172411525	NA	NA	BOW	nobound	259	lex	3_3	1	no	5000	5000	all	4_4	NA	276	harden
harden.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.9398941409815471	-0.3951998519482802	NA	NA	BOW	nobound	259	lex	3_3	1	no	FOC	176	nav	4_4	NA	276	harden
harden.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.926058068159449	-0.3671713743465841	NA	NA	BOW	nobound	259	lex	3_3	1	no	FOC	259	all	4_4	NA	276	harden
harden.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.8377568541822447	-0.19102270840499733	NA	NA	BOW	nobound	300	all	3_3	1	weight	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	1.0580411647934573	-0.6274048008458215	NA	NA	BOW	nobound	300	all	3_3	1	weight	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.9701495858301731	-0.20189580422301792	NA	NA	BOW	nobound	300	all	3_3	1	weight	FOC	145	nav	4_4	NA	279	harden
harden.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.8005174129302156	-0.18738992299626145	NA	NA	BOW	nobound	300	all	3_3	1	weight	FOC	300	all	4_4	NA	279	harden
harden.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.8871253141453522	-0.1323711942085636	NA	NA	BOW	nobound	300	all	3_3	1	selection	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	1.1414802269902746	-0.823710651987537	NA	NA	BOW	nobound	300	all	3_3	1	selection	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.953682808467653	-0.13685576997944435	NA	NA	BOW	nobound	300	all	3_3	1	selection	FOC	145	nav	4_4	NA	279	harden
harden.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.8726465254905988	-0.1420683816368145	NA	NA	BOW	nobound	300	all	3_3	1	selection	FOC	300	all	4_4	NA	279	harden
harden.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	1.122705927629873	0.1595762796752785	NA	NA	BOW	nobound	384	all	3_3	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	2.0424084371221816	0.36927034035114653	NA	NA	BOW	nobound	384	all	3_3	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	1.114885852384844	0.07630909961816391	NA	NA	BOW	nobound	384	all	3_3	1	no	FOC	176	nav	4_4	NA	279	harden
harden.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	1.016780690629883	0.03192796902308675	NA	NA	BOW	nobound	384	all	3_3	1	no	FOC	384	all	4_4	NA	279	harden
harden.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	0.6737717400925031	0.4290679683826027	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	weight	5000	5000	nav	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	0.8608981208923315	0.5669195529616603	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	weight	5000	5000	all	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	0.6985960173667475	0.5044625059011986	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	weight	FOC	92	nav	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	0.6472221393986364	0.4189609652638882	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	weight	FOC	205	all	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	0.5680075583618831	0.4501441202984511	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	selection	5000	5000	nav	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	0.8138818322098069	0.6546048860095753	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	selection	5000	5000	all	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	0.6078210007231083	0.5418071738890938	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	selection	FOC	92	nav	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	0.5415858967825319	0.40795579278975874	selection2	NA	LEMMAPATH	bound	205	NA	NA	1	selection	FOC	205	all	4_4	NA	274	harden
harden.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	0.638747936210991	0.8132989480869328	selection2	NA	LEMMAPATH	bound	350	NA	NA	1	no	5000	5000	nav	4_4	NA	276	harden
harden.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	0.8958127926087822	1.511923281002483	selection2	NA	LEMMAPATH	bound	350	NA	NA	1	no	5000	5000	all	4_4	NA	276	harden
harden.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	0.6566867768274262	0.9061654016610818	selection2	NA	LEMMAPATH	bound	350	NA	NA	1	no	FOC	162	nav	4_4	NA	276	harden
harden.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	0.6014213260152144	0.7270920793596958	selection2	NA	LEMMAPATH	bound	350	NA	NA	1	no	FOC	350	all	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	-0.11382599287302705	0.14331609056001696	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	weight	5000	5000	nav	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	-0.10774516846709202	0.21530495609331654	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	weight	5000	5000	all	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.4169020541731201	0.2572894752068263	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	weight	FOC	143	nav	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	-0.234171815956495	0.16445093225731502	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	weight	FOC	283	all	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	0.003688933123859498	0.2584856808050355	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	selection	5000	5000	nav	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	-0.0993655791909705	0.6865366947274859	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	selection	5000	5000	all	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.3238483969767169	0.337131455315887	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	selection	FOC	143	nav	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	-0.12985114000599696	0.24896877757293115	selection3	NA	LEMMAPATH	bound	283	NA	NA	1	selection	FOC	283	all	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	-0.1815517210555149	0.8331136553394644	selection3	NA	LEMMAPATH	bound	527	NA	NA	1	no	5000	5000	nav	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	-0.34076868866427434	1.9022264079636868	selection3	NA	LEMMAPATH	bound	527	NA	NA	1	no	5000	5000	all	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	-0.42533592886045657	0.7040605317620391	selection3	NA	LEMMAPATH	bound	527	NA	NA	1	no	FOC	271	nav	4_4	NA	276	harden
harden.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	-0.2857129880014465	0.6254503288414267	selection3	NA	LEMMAPATH	bound	527	NA	NA	1	no	FOC	527	all	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	0.003688933123859498	0.2584856808050355	weight	NA	LEMMAPATH	bound	283	NA	NA	1	selection	5000	5000	nav	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.0993655791909705	0.6865366947274859	weight	NA	LEMMAPATH	bound	283	NA	NA	1	selection	5000	5000	all	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.3238483969767169	0.337131455315887	weight	NA	LEMMAPATH	bound	283	NA	NA	1	selection	FOC	143	nav	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.12985114000599696	0.24896877757293115	weight	NA	LEMMAPATH	bound	283	NA	NA	1	selection	FOC	283	all	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	0.34547770402781985	0.919423509952181	weight	NA	LEMMAPATH	bound	527	NA	NA	1	no	5000	5000	nav	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	0.3487730669460108	1.7315414183663982	weight	NA	LEMMAPATH	bound	527	NA	NA	1	no	5000	5000	all	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	0.16208262464316978	0.8133542288660883	weight	NA	LEMMAPATH	bound	527	NA	NA	1	no	FOC	271	nav	4_4	NA	276	harden
harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	0.2229302371170598	0.743827362328198	weight	NA	LEMMAPATH	bound	527	NA	NA	1	no	FOC	527	all	4_4	NA	276	harden
harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	0.4006440135323322	0.47520479724889403	NA	group1	LEMMAREL	bound	116	NA	NA	1	weight	5000	5000	nav	4_4	NA	244	harden
harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	0.3298370628596801	0.41763975955058313	NA	group1	LEMMAREL	bound	116	NA	NA	1	weight	5000	5000	all	4_4	NA	244	harden
harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	0.45540039690864287	0.5966997142218289	NA	group1	LEMMAREL	bound	116	NA	NA	1	weight	FOC	41	nav	4_4	NA	244	harden
harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	0.4237618290990939	0.5359883320284407	NA	group1	LEMMAREL	bound	116	NA	NA	1	weight	FOC	116	all	4_4	NA	244	harden
harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	0.3594124679893274	0.43557007579658436	NA	group1	LEMMAREL	bound	116	NA	NA	1	selection	5000	5000	nav	4_4	NA	244	harden
harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	0.3210711122996446	0.48471921969537285	NA	group1	LEMMAREL	bound	116	NA	NA	1	selection	5000	5000	all	4_4	NA	244	harden
harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	0.4308950584488505	0.6178838988026113	NA	group1	LEMMAREL	bound	116	NA	NA	1	selection	FOC	41	nav	4_4	NA	244	harden
harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	0.37980347728474895	0.5043586505309424	NA	group1	LEMMAREL	bound	116	NA	NA	1	selection	FOC	116	all	4_4	NA	244	harden
harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	0.44717847054584753	0.8442455830496056	NA	group1	LEMMAREL	bound	162	NA	NA	1	no	5000	5000	nav	4_4	NA	251	harden
harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	0.46633799598074	1.3175377974255658	NA	group1	LEMMAREL	bound	162	NA	NA	1	no	5000	5000	all	4_4	NA	251	harden
harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	0.49443460024334235	1.0058503707474358	NA	group1	LEMMAREL	bound	162	NA	NA	1	no	FOC	58	nav	4_4	NA	251	harden
harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	0.45590120918061317	0.7929206373024931	NA	group1	LEMMAREL	bound	162	NA	NA	1	no	FOC	162	all	4_4	NA	251	harden
harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-0.12600762926912423	0.28714705721270706	NA	group2	LEMMAREL	bound	173	NA	NA	1	weight	5000	5000	nav	4_4	NA	266	harden
harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-0.17269575195466202	0.5238651576382417	NA	group2	LEMMAREL	bound	173	NA	NA	1	weight	5000	5000	all	4_4	NA	266	harden
harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.44196196928742837	0.5293214274055238	NA	group2	LEMMAREL	bound	173	NA	NA	1	weight	FOC	83	nav	4_4	NA	266	harden
harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.32437653497934826	0.4389933466510049	NA	group2	LEMMAREL	bound	173	NA	NA	1	weight	FOC	173	all	4_4	NA	266	harden
harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	0.023354155920219107	0.30844718854707986	NA	group2	LEMMAREL	bound	173	NA	NA	1	selection	5000	5000	nav	4_4	NA	266	harden
harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.09424132212967562	0.719401654484317	NA	group2	LEMMAREL	bound	173	NA	NA	1	selection	5000	5000	all	4_4	NA	266	harden
harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2988968618008795	0.5022815517978929	NA	group2	LEMMAREL	bound	173	NA	NA	1	selection	FOC	83	nav	4_4	NA	266	harden
harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.13672827200502702	0.38898689351318866	NA	group2	LEMMAREL	bound	173	NA	NA	1	selection	FOC	173	all	4_4	NA	266	harden
harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-0.07536435783371839	0.6378615974479668	NA	group2	LEMMAREL	bound	267	NA	NA	1	no	5000	5000	nav	4_4	NA	268	harden
harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-0.28579552773734995	1.473560268066428	NA	group2	LEMMAREL	bound	267	NA	NA	1	no	5000	5000	all	4_4	NA	268	harden
harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-0.43178788177108574	0.7860995366484973	NA	group2	LEMMAREL	bound	267	NA	NA	1	no	FOC	137	nav	4_4	NA	268	harden
harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-0.30309183917816	0.6425608574440721	NA	group2	LEMMAREL	bound	267	NA	NA	1	no	FOC	267	all	4_4	NA	268	harden
