_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.5206359869759006	-0.545733112202702	NA	NA	BOW	bound	417	all	10_10	1	weight	5000	5000	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5655737116892545	-0.11815055039539725	NA	NA	BOW	bound	417	all	10_10	1	weight	FOC	221	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.4346088071722087	-0.10260039675581865	NA	NA	BOW	bound	417	all	10_10	1	weight	FOC	417	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.2652260800927195	0.007137589842609712	NA	NA	BOW	bound	417	all	10_10	1	selection	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.8032656605151193	-0.7863655144982468	NA	NA	BOW	bound	417	all	10_10	1	selection	5000	5000	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.543631583401062	6.837580341972113e-4	NA	NA	BOW	bound	417	all	10_10	1	selection	FOC	221	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.421548902732199	-0.017548608516198105	NA	NA	BOW	bound	417	all	10_10	1	selection	FOC	417	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.8825187732601252	0.6039373507080467	NA	NA	BOW	bound	896	all	10_10	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-1.3289169000093006	1.8369002995181025	NA	NA	BOW	bound	896	all	10_10	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.0187896911315797	0.38438690382250273	NA	NA	BOW	bound	896	all	10_10	1	no	FOC	491	nav	4_4	NA	279	harden
harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.9123369130087428	0.3429295502386022	NA	NA	BOW	bound	896	all	10_10	1	no	FOC	896	all	4_4	NA	279	harden
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.024390266639779487	-0.36565800700484413	NA	NA	BOW	bound	259	lex	5_5	1	weight	5000	5000	nav	4_4	NA	276	harden
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.018970079663294413	-0.7044998823209765	NA	NA	BOW	bound	259	lex	5_5	1	weight	5000	5000	all	4_4	NA	276	harden
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2460221256201732	-0.4353355776890794	NA	NA	BOW	bound	259	lex	5_5	1	weight	FOC	174	nav	4_4	NA	276	harden
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10155089655900418	-0.3572189867536853	NA	NA	BOW	bound	259	lex	5_5	1	weight	FOC	259	all	4_4	NA	276	harden
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.04929017217472017	-0.34504085828742126	NA	NA	BOW	bound	259	lex	5_5	1	selection	5000	5000	nav	4_4	NA	276	harden
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.036008591922036454	-0.8242214341389261	NA	NA	BOW	bound	259	lex	5_5	1	selection	5000	5000	all	4_4	NA	276	harden
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.19548195396068413	-0.3479021222584771	NA	NA	BOW	bound	259	lex	5_5	1	selection	FOC	174	nav	4_4	NA	276	harden
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.034357902685481403	-0.29687210158680344	NA	NA	BOW	bound	259	lex	5_5	1	selection	FOC	259	all	4_4	NA	276	harden
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.00859109370671745	-0.4082627763768869	NA	NA	BOW	bound	365	lex	5_5	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.14400046452438983	-1.0789918156905591	NA	NA	BOW	bound	365	lex	5_5	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.3426391790168567	-0.3679893165377081	NA	NA	BOW	bound	365	lex	5_5	1	no	FOC	254	nav	4_4	NA	279	harden
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.13912819969194753	-0.3152711306221057	NA	NA	BOW	bound	365	lex	5_5	1	no	FOC	365	all	4_4	NA	279	harden
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.01905223753009454	-0.20760235268755967	NA	NA	BOW	bound	340	all	5_5	1	weight	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.014165101423166456	-0.6257984132759591	NA	NA	BOW	bound	340	all	5_5	1	weight	5000	5000	all	4_4	NA	279	harden
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.22488862602180273	-0.22353115700759602	NA	NA	BOW	bound	340	all	5_5	1	weight	FOC	174	nav	4_4	NA	279	harden
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1075365759891883	-0.19029556151881116	NA	NA	BOW	bound	340	all	5_5	1	weight	FOC	340	all	4_4	NA	279	harden
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.04775159164484731	-0.12134763937205197	NA	NA	BOW	bound	340	all	5_5	1	selection	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.019431170302118463	-0.8337372310813361	NA	NA	BOW	bound	340	all	5_5	1	selection	5000	5000	all	4_4	NA	279	harden
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.17768763126764575	-0.12375282906701374	NA	NA	BOW	bound	340	all	5_5	1	selection	FOC	174	nav	4_4	NA	279	harden
