size	max_diss	av_diss	diameter	separation	medoid	avg.width
35	3.3366879037775905	2.356083378603108	3.522122270226404	1.6356581044246692	haten.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.07688745757918712
34	3.573533026215116	2.6013756958430108	4.1304708197929925	1.6201206965127748	haten.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.026011698204916583
26	3.043976073000637	2.1864852401003816	3.591822545091384	1.6201206965127748	haten.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	0.15321171502213854
25	3.3757011960540826	2.4756120593323114	3.899373425877303	2.007303323685754	haten.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.11367581159649251
19	3.3959800097174995	1.7547358028780167	3.506306416661781	1.6356581044246692	haten.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.2751816402324164
18	2.5675155646205123	1.9249942407413374	3.2418319654759373	1.9470712013610065	haten.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.23756511865426452
23	2.9328186324222285	2.1473080046004047	3.461877880220266	1.7979259650974804	haten.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	0.18630997223589119
24	3.2931614357143806	2.1599537544724603	3.824986637258069	2.1474714804001467	haten.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	0.18474632912539143
