type	token_id	sense	confidence	annotator	annotations	annotators	agree_nr	agree_fct	left	target	right	comment	geen_reason	my_comment	comment_2	sense_2
herstructureren	herstructureer/verb/de_standaard_20020430_01_66/769	herstructureren_2	2	4_1	2	3	0.67	majority	besliste om Renault-Vilvoorde te sluiten . Momenteel is Ghosn bezig de Japanse dochter Nissan te	herstructureren	. ( bloomberg ) RHODIA Winst neemt duik van meer dan zeventig procent . De	Eerste betekenis ook mogelijk.	between	1;2	NA	herstructureren_2
gemeen	gemeen/adj/parool_20000412_103/203	geen	4	18_1	3	3	0.33	none	hij is de Jan Klaassen van zijn behoudende achterban . Die binding aan de grootste	gemene	kiezer is niet de enige belemmering voor het grote debat . Dat wordt ook bepaald	ik twijfel tussen 'gezamenlijk' en 'publiek'	between	1;2	NA	between
grijs	grijs/adj/volkskrant_20020221_8/72	grijs_1	2	11_1	3	3	0.33	none	Levenservaring is ook wat waard , toch ? Maar 's ochtends zie je in het	grijze	licht van de nieuwe dag hoe vlak naast je een eigenaardig behaard lichaam sluimert dat	Ik twijfel tussen betekenis 1 en 2	between	1;2	NA	grijs_1
herhalen	herhaal/verb/de_morgen_20001222_01_75/164	geen	2	6_2	2	3	0.33	minority	deze week rond de 130 euro . Het verhaal werd de afgelopen maanden al meermaals	herhaald	: het aandeel Siemens evolueerde van een ' weduwen- en wezen-'aandeel naar een blitse technologiewaarde	Ik twijfel tussen de eerste twee opties.	between	1;2	NA	between
herkennen	herken/verb/de_morgen_19990210_01_85/481	geen	0	15_1	3	3	0.33	none	"gezet te hebben . Het gebeurt om 22u22 . 	 	 Hoe zullen jullie elkaar"	herkennen	"? 	 	 Wel . Ik zal een versgeplukt boeket rode pepers in de hand"	twijfel tussen optie 1 of 2, hoort niet bij een vorige ontmoetingof hoort niet bij een specifieke persoon of zaak	between	1;2	NA	between
gekleurd	gekleurd/adj/algemeen_dagblad_20030716_26/54	gekleurd_2	1	6_1	3	3	0.33	none	stoomlocomotief uit vroeger tijden . Zoals ijzervlechter Thomas Paepcke , die zijn gespierde , gezond	gekleurde	lichaam weinig rust gunt . De Duitser is nog slechts gekleed in een afgescheurde geminimaliseerde	Ook hier twijfel ik opnieuw: deze man is gekleurd door de zon en niet door afkomst. Maar het heeft wel te maken met huidskleur.	between	1;2	NA	gekleurd_2
haten	haat/verb/parool_20010724_31/89	geen	0	4_1	2	3	0.33	minority	"2 . Fear Have another beer with fear 	 Fear is de band die ik"	haat	omdat ik van ze hou , of de band waarvan ik hou omdat ik ze	Ik twijfel tussen de twee betekenissen. De betekenis is moeilijk te achterhalen omdat 'houden van' een contradictie is met haten.	between	1;2	low imagination	between
heilzaam	heilzaam/adj/het_laatste_nieuws_20031122_01_598/142	geen	2	2_2	2	3	0.33	minority	Wij maken ons toch zo vlug druk om niemandalletjes . Daarover even reflecteren kan heel	heilzaam	zijn . Gisteren hebben we er nog eens flink de beuk ingezet en we zullen	Ik twijfel tussen beide opties.	between	1;2	NA	between
heilzaam	heilzaam/adj/het_nieuwsblad_20001002_01_29/136	geen	2	2_2	3	3	0.33	none	mindervaliden . Hippotherapie - - het omgaan met pony's en paarden - - kan erg	heilzaam	"zijn voor gehandicapte kinderen . 	 Het zou erg zijn als educatieve projecten die de"	Ik twijfel tussen beide opties.	between	1;2	NA	between
heilzaam	heilzaam/adj/nrc_handelsblad_20001223_40/938	geen	0	19_2	2	3	0.33	minority	annex onhandelbare verschoppling ( Matt Damon ) . Therapie van begripvolle Robin Williams heeft alom	heilzaam	effect . Ook met Ben Affleck . Ned.2 , 20.47-22.50u. Arachnophobia ( Frank Marshall ,	Kan beide betekenissen inhouden: mentaal welzijn staat in direct verband met lichamelijk welzijn.	between	1;2	NA	between
helpen	help/verb/algemeen_dagblad_20031025_99/139	helpen_1	3	20_2	2	3	0.67	majority	gekleed zou zijn . Maar nu blijkt echt iedereen iets zwarts aan te hebben .	Help	"! Zo val ik wel heel erg op ! 	 Wie ? Jacov Valentine ("	optie 2 is ook mogelijk	between	1;2	NA	helpen_1
hemels	hemels/adj/algemeen_dagblad_19990913_57/990	geen	0	2_1	2	3	0.33	minority	vroeg of laat ook die karmelitaanse bedelbroeders zich weer sterk genoeg zullen voelen om het	hemelse	vuur over ons aller gouden kalven af te roepen . Thuis of geen thuis	ik twijfel tussen beiden. Een vuur kan als 'zali' omschreven worden maar in deze context (gouden kalveren,  ...) lijkt het eerder betrekking te hebben op God en de hemel.	between	1;2	NA	between
hemels	hemels/adj/algemeen_dagblad_20000406_172/413	geen	0	2_1	2	3	0.33	minority	de gevangenis filmt hij als een claustrofobische ervaring . De onmetelijke blauwe lucht symboliseert een	hemelse	vrijheid . En daarmee is Jewisons film ook een persoonlijke aanklacht tegen een maatschappij die	een heerlijke vrijheid of een vrijheid afkomstig van de hemel/God?	between	1;2	NA	between
hemels	hemels/adj/het_nieuwsblad_20040519_01_320/57	geen	1	20_2	2	3	0.33	minority	vanaf 2005 opnieuw mogelijk zijn . Voor burgemeester Van Braekel klinkt dit bericht als een	hemelse	"boodschap . 	 We kregen inderdaad erg goed nieuws 	 , zegt de Sentse burgemeester"	ik twijfel	between	1;2	NA	between
hemels	hemels/adj/parool_19990129_102/372	geen	2	2_2	2	3	0.67	majority	zelfs lekkerder dan pindakaas ? ' wil Fourlani nog van hem weten , terwijl zij	hemels	naar het plafond kijkt . Pitt draait met zijn ogen , terwijl tranen alweer opwellen	Ik twijfel tussen beide opties	between	1;2	NA	between
hemels	hemels/adj/parool_20010514_42/296	geen	2	2_2	2	3	0.33	minority	en gezucht van de sopraan , waarom is ze opeens verdwenen en duikt ze als	hemelse	stem weer op , zittend op de balustrade van het balkon ? Wat zaagt die	Ik twijfel tussen beide opties.	between	1;2	NA	between
hoopvol	hoopvol/adj/de_morgen_20030129_01_25/653	geen	3	6_2	2	3	0.33	minority	naïeve burgers in geloofwaardige bestrijders van het laat-kapitalistische bestel en zijn inherent fatalisme . De	hoopvolle	teneur kon nog altijd op veel scepsis rekenen , maar Greenpeace-activisten leken ook bereid voor	Ik twijfel tussen beide opties.	between	1;2	NA	between
hoopvol	hoopvol/adj/nrc_handelsblad_20030620_101/351	geen	0	5_1	2	3	0.33	minority	verderop hangt een piepklein schilderijtje van de Argentijnse kunstenaar Rirkrit Tiravanija dat een al even	hoopvolle	"boodschap verkondigt . 	 Less oil more courage 	 , staat er in witte letters"	Ik twijfel tussen de twee.	between	1;2	NA	between
hoopvol	hoopvol/adj/volkskrant_20010825_132/1739	geen	0	20_2	2	3	0.33	minority	sombere dennenbossen . De boeren van Metskla proberen zich op hun coöperatie Kalju - wat	hoopvol	rots betekent - met tweehonderd koeien op de Europese Unie voor te bereiden . Dat	ik twijfel	between	1;2	NA	between
spoor	spoor/noun/het_laatste_nieuws_20000831_01_264/191	geen	0	4_1	3	3	0.33	none	. Je kunt moeilijk beweren dat het een exclusieve Vlaamse aangelegenheid is , want alle	sporen	lopen naar Wallonië . andquot; ( PhT	Omdat je niet echt weet waar het over gaat en wat de sporen zijn, is het moeilijk te zeggen of betekenis 1.1 of 1.2 van toepassing is. Misschien eerder 1.2 omdat het gaat om sporen naar iets en bij betekenis 1.2 .	between	1;2	NA	between
spoor	spoor/noun/het_laatste_nieuws_20000831_01_264/191	spoor_2	1	4_2	3	3	0.33	none	. Je kunt moeilijk beweren dat het een exclusieve Vlaamse aangelegenheid is , want alle	sporen	lopen naar Wallonië . andquot; ( PhT	Kan ook 2.1 zijn, niet echt duidelijk uit de context	between	1;2	NA	spoor_2
spot	spot/noun/de_morgen_20031220_01_102/987	spot_2	1	18_1	2	3	0.67	majority	"politiek . Het is tijd dat de Democraten daarover nadenken . 	 Het was een"	spot	die Bush zo kan overnemen . Bush ' populariteit stijgt van de ene op de	weinig context, het zou ook optie 1 kunnen zijn (al doet het lidwoord vermoeden dat dat niet zo is)	between	1;2	mentions determiner	spot_2
hoekig	hoekig/adj/volkskrant_19990528_103/846	hoekig_1	2	11_1	2	3	0.33	minority	er anders aan toe : hij zet de zaak graag op scherp met dwarse ,	hoekige	en heel persoonlijke lezingen . Hij laat je als luisteraar geen moment met rust en	Ik twijfel tussen betekenis 1 en 3, maar ik denk dan toch eerder 1 (in figuurlijke betekenis: een lezing met scherpe kanten)	between	1;3	too much	hoekig_1
heet	heet/adj/parool_19990709_77/169	geen	0	12_1	2	3	0.33	minority	. Tieners die kotsend over de reling hangen , worden hartstochtelijk toegejuicht . Op het	hete	strand volgt een estafette . Een jongen rent naar een meisje , maakt tien copulerende	Ik twijfel tussen (van dingen) zeer warm, nl. het zand was zeer warm aan de voeten, dus het hete strand; of (van het weer) zeer warm, nl. het was een warme zomerdag dus het hete strand	between	1;3	NA	between
herkennen	herken/verb/nrc_handelsblad_20000121_41/60	geen	2	2_2	2	3	0.33	minority	Nederlandse . Ra , ra , wie maakte wat ? De Nederlandse is makkelijk te	herkennen	, want die staat zelf pontificaal op de foto in de hal . Rini Hurkmans	"ik twijfel tussen ""iets of iem. identificeren als exemplaar van een bepaalde categorie"" en ""iets of iem. identificeren als dezelfde als bij een vorige ontmoeting"""	between	1;3	NA	between
hoekig	hoekig/adj/de_standaard_20021211_01_16/423	geen	0	20_2	2	3	0.33	minority	figuurtjes blijven . Klaas Verplancke tekende een Christusfiguur met Memling-haar , maar vooral met de	hoekige	, melancholische trekken uit zijn ander werk . Geert Vervaeke onttrok zich helemaal aan de	ik twijfel tussen 1 en 3	between	1;3	NA	between
schaal	schaal/noun/nrc_handelsblad_20020902_62/351	geen	2	12_3	2	3	0.33	minority	verscheen tien jaar geleden de westerse wasmachine . Kijk , dat is globalisering op menselijke	schaal	. Een ouderwetse bak nog , die je met water vult , waarin je zeep	"Betekenis 1.1 en 1.3 komen het meest in aanmerking, maar een ""menselijke schaal"" is geen geordende reeks cijfers waarmee iets berekend wordt noch de schaal van een probleem"	between	1;3	NA	between
schaal	schaal/noun/nrc_handelsblad_20040426_124/289	geen	3	12_3	2	3	0.33	minority	het feest van de hoogst individuele expressie en de behoefte aan authenticiteit . En de	schaal	van de menselijke maat wordt opnieuw uitgevonden . Waar anders dan in het woninginterieur wordt	Betekenis 1.1 en 1.3 komen het meest in aanmerking, maar zijn alsnog niet de ware betekenis.	between	1;3	NA	between
gekleurd	gekleurd/adj/algemeen_dagblad_20030716_26/54	geen	0	6_3	3	3	0.33	none	stoomlocomotief uit vroeger tijden . Zoals ijzervlechter Thomas Paepcke , die zijn gespierde , gezond	gekleurde	lichaam weinig rust gunt . De Duitser is nog slechts gekleed in een afgescheurde geminimaliseerde	twijfel tussen eerste en laatste betekenis	between	1;3	NA	between
blik	blik/noun/algemeen_dagblad_20010519_92/946	geen	0	15_2	2	3	0.33	minority	aan te ontsnappen . Desnoods door het eiland na hun studie te verlaten . De	blik	in de universteitskantine biedt een goede doorsnede van de bevolking . Als er een student	twijfel tussen 1.1 en 1.3	between	1;3	NA	between
