old_id	type	batch	majority_conf	mean_conf	token_id	majority_sense	majority_agreement	annotators	newspaper
blik/noun/nrc_handelsblad_19990403_18/1494	blik	blik_1	-0.2941045841403785	-0.2941045841403785	blik/noun/nrc_handelsblad_19990403_18/1656	blik_3	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_19990707_120/617	blik	blik_1	-0.4113137735146952	-0.31516020899823766	blik/noun/nrc_handelsblad_19990707_120/685	blik_3	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_19991224_53/651	blik	blik_1	-0.48230879677919625	-0.6427684222390979	blik/noun/nrc_handelsblad_19991224_53/725	blik_3	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20000323_59/143	blik	blik_1	0.09589026498998957	-0.6322406098101684	blik/noun/nrc_handelsblad_20000323_59/155	blik_3	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20000412_47/385	blik	blik_1	0.962550020308548	0.6887200555822022	blik/noun/nrc_handelsblad_20000412_47/435	blik_2	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20000805_25/127	blik	blik_1	0.3505840299124124	0.3505840299124124	blik/noun/nrc_handelsblad_20000805_25/143	blik_5	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20001027_140/737	blik	blik_1	-0.48230879677919625	-0.6427684222390979	blik/noun/nrc_handelsblad_20001027_140/871	blik_3	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20001205_121/351	blik	blik_1	-1.1166144041622488	-1.1129688426708002	blik/noun/nrc_handelsblad_20001205_121/399	blik_2	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010111_49/925	blik	blik_1	-0.3046323965693081	-0.3046323965693081	blik/noun/nrc_handelsblad_20010111_49/1047	no_agreement	0.3333333333333333	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010118_106/329	blik	blik_1	0.45534598180386315	0.3505840299124124	blik/noun/nrc_handelsblad_20010118_106/365	blik_1	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010214_24/354	blik	blik_1	0.012448004242622537	0.012448004242622537	blik/noun/nrc_handelsblad_20010214_24/386	blik_1	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010226_54/504	blik	blik_1	0.3505840299124124	0.3505840299124124	blik/noun/nrc_handelsblad_20010226_54/568	blik_1	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010313_55/749	blik	blik_1	-0.9100854183517226	-0.9279528366207822	blik/noun/nrc_handelsblad_20010313_55/809	blik_3	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010315_169/337	blik	blik_1	-0.020274619414032746	0.033503629100481776	blik/noun/nrc_handelsblad_20010315_169/391	blik_3	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010818_66/313	blik	blik_1	0.3505840299124124	0.3505840299124124	blik/noun/nrc_handelsblad_20010818_66/337	blik_1	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010829_54/53	blik	blik_1	0.4711377004472576	0.361111842341342	blik/noun/nrc_handelsblad_20010829_54/65	blik_1	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20010830_139/173	blik	blik_1	0.45534598180386315	0.3505840299124124	blik/noun/nrc_handelsblad_20010830_139/191	blik_1	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20011107_106/199	blik	blik_1	0.45534598180386315	-0.11961639051928999	blik/noun/nrc_handelsblad_20011107_106/219	blik_1	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20011208_27/1361	blik	blik_1	-0.5274786579187175	-0.3046323965693081	blik/noun/nrc_handelsblad_20011208_27/1513	blik_1	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20020122_82/106	blik	blik_1	0.8207844503441147	0.8207844503441147	blik/noun/nrc_handelsblad_20020122_82/116	blik_1	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20020412_190/176	blik	blik_1	-0.9703766354799582	-0.9703766354799582	blik/noun/nrc_handelsblad_20020412_190/200	blik_3	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20020424_99/156	blik	blik_1	0.3505840299124124	0.3505840299124124	blik/noun/nrc_handelsblad_20020424_99/174	blik_1	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20020426_21/29	blik	blik_1	0.6887200555822022	0.6887200555822022	blik/noun/nrc_handelsblad_20020426_21/33	blik_4	1	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20020515_42/298	blik	blik_1	-0.543270376562112	-0.31516020899823766	blik/noun/nrc_handelsblad_20020515_42/332	blik_1	0.6666666666666666	3	nrc_handelsblad
blik/noun/nrc_handelsblad_20020604_38/542	blik	blik_1	0.361111842341342	0.361111842341342	blik/noun/nrc_handelsblad_20020604_38/588	blik_5	1	3	nrc_handelsblad
