batch	username	annotator	code
hemels_4	sarah.vandijck	ann_1	17_1
diskwalificeren_6	sarah.vandijck	ann_1	17_1
harden_1	sarah.vandijck	ann_1	17_1
haken_9	sarah.vandijck	ann_1	17_1
staal_3	sarah.vandijck	ann_1	17_1
helpen_2	sarah.vandijck	ann_1	17_1
blik_6	sarah.vandijck	ann_1	17_1
horde_4	sarah.vandijck	ann_1	17_1
dof_2	sarah.vandijck	ann_1	17_1
goedkoop_2	sander.vanuytven	ann_2	17_2
heet_7	sander.vanuytven	ann_2	17_2
grijs_8	sander.vanuytven	ann_2	17_2
hemels_4	sander.vanuytven	ann_2	17_2
diskwalificeren_6	sander.vanuytven	ann_2	17_2
harden_1	sander.vanuytven	ann_2	17_2
haken_9	sander.vanuytven	ann_2	17_2
staal_3	sander.vanuytven	ann_2	17_2
helpen_2	sander.vanuytven	ann_2	17_2
blik_6	sander.vanuytven	ann_2	17_2
horde_4	sander.vanuytven	ann_2	17_2
dof_2	sander.vanuytven	ann_2	17_2
heet_6	france.schils	ann_1	18_1
gemeen_4	france.schils	ann_1	18_1
geldig_5	france.schils	ann_1	18_1
harden_4	france.schils	ann_1	18_1
hoopvol_6	france.schils	ann_1	18_1
diskwalificeren_3	france.schils	ann_1	18_1
herhalen_2	france.schils	ann_1	18_1
herroepen_3	france.schils	ann_1	18_1
spot_4	france.schils	ann_1	18_1
schaal_2	france.schils	ann_1	18_1
spoor_9	france.schils	ann_1	18_1
goedkoop_4	france.schils	ann_1	18_1
geldig_2	elea.boudart	ann_1	19_1
hemels_1	elea.boudart	ann_1	19_1
geestig_4	elea.boudart	ann_1	19_1
heilzaam_1	elea.boudart	ann_1	19_1
harden_2	elea.boudart	ann_1	19_1
herkennen_8	elea.boudart	ann_1	19_1
herhalen_7	elea.boudart	ann_1	19_1
haken_1	elea.boudart	ann_1	19_1
schaal_6	elea.boudart	ann_1	19_1
horde_5	elea.boudart	ann_1	19_1
stof_5	elea.boudart	ann_1	19_1
goedkoop_1	elea.boudart	ann_1	19_1
goedkoop_5	hanne.verheyen	ann_1	2_1
hemels_3	hanne.verheyen	ann_1	2_1
gemeen_3	hanne.verheyen	ann_1	2_1
stof_3	hanne.verheyen	ann_1	2_1
herinneren_2	hanne.verheyen	ann_1	2_1
diskwalificeren_2	hanne.verheyen	ann_1	2_1
herkennen_1	hanne.verheyen	ann_1	2_1
haken_3	hanne.verheyen	ann_1	2_1
horde_7	hanne.verheyen	ann_1	2_1
spoor_5	hanne.verheyen	ann_1	2_1
heilzaam_6	hanne.verheyen	ann_1	2_1
herroepen_1	hanne.verheyen	ann_1	2_1
heet_1	severine.vankessel	ann_2	20_2
herkennen_5	severine.vankessel	ann_2	20_2
hemels_6	severine.vankessel	ann_2	20_2
hoekig_6	severine.vankessel	ann_2	20_2
huldigen_4	severine.vankessel	ann_2	20_2
hoopvol_2	severine.vankessel	ann_2	20_2
helpen_3	severine.vankessel	ann_2	20_2
diskwalificeren_4	severine.vankessel	ann_2	20_2
stof_8	severine.vankessel	ann_2	20_2
blik_3	severine.vankessel	ann_2	20_2
schaal_4	severine.vankessel	ann_2	20_2
haten_6	severine.vankessel	ann_2	20_2
