batch	username	annotator	code
stof_7	anastasia.knyazeva	ann_4	14_4
schaal_8	anastasia.knyazeva	ann_4	14_4
helpen_1	anastasia.knyazeva	ann_4	14_4
herhalen_1	anastasia.knyazeva	ann_4	14_4
herroepen_2	anastasia.knyazeva	ann_4	14_4
haten_5	anastasia.knyazeva	ann_4	14_4
horde_3	anastasia.knyazeva	ann_4	14_4
herstructureren_4	anastasia.knyazeva	ann_4	14_4
geestig_7	judith.heller	ann_2	14_2
heet_4	judith.heller	ann_2	14_2
dof_7	judith.heller	ann_2	14_2
gemeen_8	judith.heller	ann_2	14_2
stof_7	judith.heller	ann_2	14_2
schaal_8	judith.heller	ann_2	14_2
helpen_1	judith.heller	ann_2	14_2
herhalen_1	judith.heller	ann_2	14_2
herroepen_2	judith.heller	ann_2	14_2
haten_5	judith.heller	ann_2	14_2
horde_3	judith.heller	ann_2	14_2
herstructureren_4	judith.heller	ann_2	14_2
diskwalificeren_5	aimee.vermeeren	ann_3	3_3
heffen_4	aimee.vermeeren	ann_3	3_3
grijs_7	aimee.vermeeren	ann_3	3_3
hoekig_4	aimee.vermeeren	ann_3	3_3
herhalen_8	aimee.vermeeren	ann_3	3_3
herroepen_4	aimee.vermeeren	ann_3	3_3
gekleurd_2	aimee.vermeeren	ann_3	3_3
spoor_1	aimee.vermeeren	ann_3	3_3
hachelijk_5	aimee.vermeeren	ann_3	3_3
spot_1	aimee.vermeeren	ann_3	3_3
hoop_7	aimee.vermeeren	ann_3	3_3
gemeen_5	aimee.vermeeren	ann_3	3_3
diskwalificeren_5	sara.steurbaut	ann_2	3_2
heffen_4	sara.steurbaut	ann_2	3_2
grijs_7	sara.steurbaut	ann_2	3_2
hoekig_4	sara.steurbaut	ann_2	3_2
herhalen_8	sara.steurbaut	ann_2	3_2
herroepen_4	sara.steurbaut	ann_2	3_2
gekleurd_2	sara.steurbaut	ann_2	3_2
spoor_1	sara.steurbaut	ann_2	3_2
hachelijk_5	sara.steurbaut	ann_2	3_2
spot_1	sara.steurbaut	ann_2	3_2
hoop_7	sara.steurbaut	ann_2	3_2
gemeen_5	sara.steurbaut	ann_2	3_2
geldig_2	aimee.vermeeren	ann_3	19_3
hemels_1	aimee.vermeeren	ann_3	19_3
geestig_4	aimee.vermeeren	ann_3	19_3
heilzaam_1	aimee.vermeeren	ann_3	19_3
harden_2	aimee.vermeeren	ann_3	19_3
herkennen_8	aimee.vermeeren	ann_3	19_3
herhalen_7	aimee.vermeeren	ann_3	19_3
haken_1	aimee.vermeeren	ann_3	19_3
schaal_6	aimee.vermeeren	ann_3	19_3
horde_5	aimee.vermeeren	ann_3	19_3
stof_5	aimee.vermeeren	ann_3	19_3
goedkoop_1	aimee.vermeeren	ann_3	19_3
geldig_2	sara.steurbaut	ann_2	19_2
hemels_1	sara.steurbaut	ann_2	19_2
geestig_4	sara.steurbaut	ann_2	19_2
heilzaam_1	sara.steurbaut	ann_2	19_2
harden_2	sara.steurbaut	ann_2	19_2
herkennen_8	sara.steurbaut	ann_2	19_2
herhalen_7	sara.steurbaut	ann_2	19_2
haken_1	sara.steurbaut	ann_2	19_2
schaal_6	sara.steurbaut	ann_2	19_2
horde_5	sara.steurbaut	ann_2	19_2
stof_5	sara.steurbaut	ann_2	19_2
goedkoop_1	sara.steurbaut	ann_2	19_2
stof_1	sen.joostens	ann_3	8_3
grijs_5	sen.joostens	ann_3	8_3
geldig_6	sen.joostens	ann_3	8_3
heilzaam_3	sen.joostens	ann_3	8_3
hachelijk_6	sen.joostens	ann_3	8_3
heffen_1	sen.joostens	ann_3	8_3
herinneren_1	sen.joostens	ann_3	8_3
blik_1	sen.joostens	ann_3	8_3
herkennen_4	sen.joostens	ann_3	8_3
hoop_1	sen.joostens	ann_3	8_3
herstellen_4	sen.joostens	ann_3	8_3
hoekig_7	sen.joostens	ann_3	8_3
stof_1	jonathan.hoebeke	ann_2	8_2
grijs_5	jonathan.hoebeke	ann_2	8_2
geldig_6	jonathan.hoebeke	ann_2	8_2
heilzaam_3	jonathan.hoebeke	ann_2	8_2
hachelijk_6	jonathan.hoebeke	ann_2	8_2
heffen_1	jonathan.hoebeke	ann_2	8_2
herinneren_1	jonathan.hoebeke	ann_2	8_2
blik_1	jonathan.hoebeke	ann_2	8_2
herkennen_4	jonathan.hoebeke	ann_2	8_2
hoop_1	jonathan.hoebeke	ann_2	8_2
herstellen_4	jonathan.hoebeke	ann_2	8_2
hoekig_7	jonathan.hoebeke	ann_2	8_2
heet_6	sen.joostens	ann_3	18_3
gemeen_4	sen.joostens	ann_3	18_3
geldig_5	sen.joostens	ann_3	18_3
harden_4	sen.joostens	ann_3	18_3
hoopvol_6	sen.joostens	ann_3	18_3
diskwalificeren_3	sen.joostens	ann_3	18_3
herhalen_2	sen.joostens	ann_3	18_3
herroepen_3	sen.joostens	ann_3	18_3
spot_4	sen.joostens	ann_3	18_3
schaal_2	sen.joostens	ann_3	18_3
spoor_9	sen.joostens	ann_3	18_3
goedkoop_4	sen.joostens	ann_3	18_3
heet_6	jonathan.hoebeke	ann_2	18_2
gemeen_4	jonathan.hoebeke	ann_2	18_2
geldig_5	jonathan.hoebeke	ann_2	18_2
harden_4	jonathan.hoebeke	ann_2	18_2
hoopvol_6	jonathan.hoebeke	ann_2	18_2
diskwalificeren_3	jonathan.hoebeke	ann_2	18_2
herhalen_2	jonathan.hoebeke	ann_2	18_2
herroepen_3	jonathan.hoebeke	ann_2	18_2
spot_4	jonathan.hoebeke	ann_2	18_2
schaal_2	jonathan.hoebeke	ann_2	18_2
spoor_9	jonathan.hoebeke	ann_2	18_2
goedkoop_4	jonathan.hoebeke	ann_2	18_2
goedkoop_5	emma.thijs	ann_2	2_2
