_id	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav.x	geestig.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav.y	geestig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.x	geestig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.y	geestig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall.y
Gore/name	-11.841645310241814	20.006698249836674	17.43809352943301	15.486493860043549	0	0	0	0	0	0	0.7374075423361902	27.40600482423279	0	0	0	0
Hamlet/name	10.581424552015548	20.618285983496875	12.905901563861816	-17.262139531913704	0	0	0	0	0	0	19.05866481715858	-6.497463621571632	0	0	0	0
Harry/name	12.34502693033534	16.146086854521307	-4.661160587289135	-21.262009680550083	0	0	0	0	0	0	28.358718511193683	6.2299147539150725	0	0	0	0
Hart/name	16.30994839573622	15.209400632206698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hit/name	1.5244471050220043	30.415644275574426	8.388488407570849	-31.002422654417934	0	0	0	0	0	0	31.44029575142553	-19.913410002617105	0	0	0	0
Hot/name	2.665166173761453	28.173889900472318	9.818470358156937	-29.638941936373595	0	0	0	0	4.623131554159832	5.079473712563536	31.268719799377042	-17.49573100918262	0	0	0	0
Me/name	3.2588275285373007	29.011389869720144	8.985488969691618	-28.570638825544794	0	0	0	0	0	0	32.637222325972154	-18.045041860045565	0	0	0	0
Minoes/name	13.094747019986903	17.256285459968964	-5.225939893225142	-22.288642869376392	0	0	0	0	0	0	30.011184269978454	7.0623923117811005	0	0	0	0
Mulisch/name	12.40150402458625	15.32046255432636	-4.181043086913151	-20.26776200728202	0	0	0	0	0	0	27.759033155599603	5.835891782643084	0	0	0	0
Nieuw-Zeelander/noun	12.603781841729795	30.233443078902145	0	0	0	0	12.656877581511917	-22.831905175762063	0	0	19.297742743988465	32.32466157917638	-10.294089983406051	-20.43543069084126	-11.46962768173945	28.136673118524406
Peper/name	7.119829325905161	-31.13061799865967	-17.24487766952483	13.786474553455802	0	0	0	0	0	0	33.44692070699284	3.606683083659236	0	0	0	0
Peter/name	10.747358444460167	26.99934329576149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Portrait/name	4.26759458650915	31.01024094576897	11.969160614279968	-26.810009172900035	0	0	0	0	0	0	32.27951885534287	-12.282823290551327	0	0	0	0
Ralph/name	12.056148613133344	25.69819765371913	15.687540206514356	-21.505758791644368	0	0	0	0	0	0	18.801363343598904	-14.25553505799791	0	0	0	0
Rawie/name	-0.9500072955747436	18.408264720693513	0	0	0	0	0	0	0	0	28.2468695355437	-1.139068843965712	0	0	0	0
Richard/name	11.101978089271846	26.97470975597485	13.99186104352715	-21.225647633596807	0	0	0	0	0	0	17.85473320855613	-15.430880232194914	0	0	0	0
Risseeuw/name	17.97881694743121	-17.628819027891073	0	0	0	0	0	0	-4.804102695091326	-7.326892260082198	-18.82181150440201	-9.421521826139085	0	0	0	0
Roland/name	13.037784601763802	26.75293071010641	2.953609366918421	-28.147334640248737	0	0	0	0	0	0	13.587512609619491	-25.789002890296565	0	0	0	0
Rowan/name	-3.3546608811047727	-32.068545298263096	-4.709399043126798	-32.629857604047885	0	0	0	0	2.942548072174608	8.21078589389404	-42.80434113766441	-4.577444629320942	0	0	0	0
Ruby/name	-4.591678681670534	-32.10046664032769	-3.239871484898893	-32.57556779752892	0	0	0	0	0	0	-45.06789078399834	-5.189358430109205	0	0	0	0
Russell/name	11.683375136247566	28.826053872858772	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Self/name	6.452424952903015	32.98492902753048	17.06686081329138	-28.425428456486916	0	0	0	0	5.307804015346546	6.297611878078787	34.63055266826206	-10.093194263596292	0	0	0	0
Small/name	0.9275225186093736	29.894117183156364	7.6426979800596335	-30.474417973124872	0	0	0	0	0	0	34.71138802220869	-19.585233536675698	0	0	0	0
The/name	4.202119089226566	29.172840006477514	10.624836666181263	-27.857287464342654	0	0	0	0	4.07186613840104	5.5439915891271925	31.749725741289488	-14.958404926194422	0	0	0	0
World/name	4.6814013079455234	29.322226446840222	11.99450977671386	-29.531879387713932	0	0	0	0	0	0	30.411143231956018	-15.67362266167202	0	0	0	0
Zwitser/noun	0.30358055345276624	-9.664912683500464	0	0	0	0	-26.566246945756415	-12.656783308630246	0	0	12.126182188486927	-26.912925983330187	-11.628220017373373	-21.497984509363803	-17.17915202344109	29.63644180700118
aankondiging/noun	-16.378233869397917	-19.985577710769803	-17.914448665474236	-0.07912654229778601	-14.489038994789588	-2.595160677881415	12.032039643658221	-12.031549121235102	6.738443166048957	-4.042342502091749	-17.41046143415576	16.06389632162204	-7.195033962136095	20.3696547149565	-17.17495187949061	6.964508273733707
absoluut/adj	18.86914273991255	-24.940531326989284	0	0	0	0	10.35550745771887	6.266112997614256	0	0	-18.201842801647462	26.541952407653717	-21.255364397888957	-2.828876700950394	-23.684997657720512	-8.088544981359055
acteer/verb	13.606666508276236	20.81980946043007	15.23792736061211	-14.981361220554362	10.955323459807053	-11.809167266249178	-14.762457875246596	1.5624761399399738	0	0	12.403468480092881	-12.948673557306911	12.09328695144382	11.320234496729698	10.454726055240045	-18.100650283352355
actie_film/noun	1.8340943471209687	21.167513622209277	7.095000601389119	-16.8513432640378	-1.6144176227892568	-3.288268169213845	-11.508902534925987	6.468038540548711	2.1914825362034156	5.097371010941997	11.749167263806491	-5.734264980858728	22.449241832494923	4.998936858005718	4.9089186019610835	-10.437812617799345
ad/adj	24.38855975508083	-8.371412558723337	-13.675068566839297	10.933498295223341	-8.2042694365219	9.747521295942182	-1.6150483947920253	-21.872352552655073	0	0	-28.795048355463383	7.462835057102335	34.048985219229	-16.25738643555494	-15.510077455036395	15.765591713694008
adembenemend/adj	-3.853328783660241	5.917717628859602	1.3351502731450227	-5.049777345701795	-2.551239281946377	-8.323108825925692	1.707471025126939	7.216145150178138	0	0	3.4244189235546463	8.795271172748178	6.000582286704091	-31.262052869904366	1.0720833466034612	-6.410798492798434
af/adv	2.1839878767753245	-26.060590924874894	0	0	0	0	22.8879453117893	5.767215831079637	1.1344722286021802	-3.7320814901670687	-31.89102118389966	-14.250046789302178	-12.274269041156858	31.754507472202054	6.221566389943794	28.668443120890018
aflevering/noun	2.9246136541414267	18.89121164493411	4.138590854587669	-14.74325002961735	4.999171598471697	-11.60999673350161	-8.664959062796134	7.848294154745847	3.254323344914405	4.950913321902118	16.852767794000155	-3.5353893579814297	18.436180214030973	8.15592472937448	-2.2395954155380644	3.6048059555468757
al/comp	11.795664477204438	-20.90450897208491	-4.140246585763961	27.85158602205063	0	0	0	0	0	0	-17.817276495336248	-12.995497661708667	0	0	0	0
alert/adj	3.9506760053396746	-8.878949078679806	-14.919071930866956	11.576063484636585	-7.557010546700551	9.256752278407584	2.21865697115456	-17.96359904656789	0	0	-17.86243371703224	5.943982188752947	-10.472346949025162	25.12884023533412	-11.147924177184564	12.902170348692685
alleen/adj	16.766639237775777	-22.511068283593815	0	0	0	0	0	0	0	0	0	0	0	0	-2.9037144237285557	28.01337374642076
alleen/vg	21.067754880116848	-3.482734572455941	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alleszins/adv	10.318647865107385	-12.000586829627853	-10.526230634653814	22.131506522754595	0.4596687407874147	13.609916953745929	24.07725825057744	14.621973023439793	0	0	-24.78474313052793	-8.81655033064064	-26.364687817788656	-3.3835696234758177	-9.110583567177327	17.36980307420263
als/comp	11.208410459016596	-24.083619814121523	1.7801674928101616	27.058521988759598	0	0	0	0	0	0	-22.98081060328584	-17.278952869263573	0	0	0	0
als/comparative	5.790890947353648	-13.447088220604046	-3.886818408226225	18.22849628713829	0	0	0	0	0	0	-18.141070572180578	-3.6990447761744316	0	0	0	0
als/prep	6.622182597230383	1.6711231614424467	-6.465041096030427	-6.087605251126132	0	0	0	0	0	0	10.849459772956962	15.695032848730408	0	0	0	0
als/vg	-28.391009751937517	11.804912308291646	3.4912082037215337	-6.4612386196332325	0	0	0	0	0	0	-0.3076653205203665	29.914272920397107	0	0	0	0
altijd/adv	9.004519100979689	-19.02832810876753	-4.949567374640423	25.00909492511076	2.875124297887401	15.159088755512528	-7.033453835480886	-10.612859053511713	0	0	-22.146626229698413	-7.792582310122037	-13.286198172607948	1.6989060071946063	-6.58727871227731	20.46665237421418
anekdote/noun	3.5260694923486944	9.905494272017455	1.0574156557121903	-9.40315219023409	-2.7081777225438004	-11.462720626796376	-2.028950875164693	6.415874157940949	2.5321066715890237	-6.493739169402046	11.166110669537261	2.2194558623308898	15.516110073509736	-9.355196871335728	8.024734420358294	-4.8834670838429615
antwoord/noun	-9.889418940204587	-16.769101401153588	-13.96695825235356	6.3940129302917175	-8.068042875948844	6.552000096664333	11.469237383488958	-18.6227294178892	-5.808932971748069	-0.3025807401077896	-21.398641784402116	11.720896421293164	-8.246059598016762	-6.532223697537805	-0.3562628351639289	9.823082706342612
aria/noun	-8.941953662560568	16.658995770031822	14.846322388610359	-10.748040428115964	9.581589924430466	-6.400272395174816	-2.8114238439579076	17.919696026937856	-1.2282015709615521	7.170941110045042	22.511356320410176	-10.719764808085404	11.079614980052911	-15.935160113074819	3.047015216161209	-24.098079464063122
arrogantie/noun	-16.846807692684457	-14.708582803255632	22.63144247610287	5.226251582365645	17.219184077801362	7.939135502194439	12.820444612190954	5.046903222286459	4.880386317726659	-7.329562241022986	-15.180372609644422	29.962221068950765	1.760855849854025	-21.598542672721898	-29.54821735823183	5.363240857810648
associatief/adj	-3.447660567413778	13.15458484850215	11.430876703894224	-4.051577879400444	1.4460526238021225	-19.347539680838306	10.981024121554238	-1.2524087391582932	0	0	7.843151331421156	2.1436975732576484	8.972751258823898	29.974101773758488	-7.431470435325413	-17.611210235121774
bedoel/verb	-23.58342197158358	0.932614981089803	-13.418623493994259	-0.05691286964958595	-1.3326580990755026	19.33865046724119	23.27744455440655	-7.5229960987550974	0	0	5.0142957304008355	32.313029002887056	-5.984312616072195	4.567298882400263	15.755111757806798	12.63621724851103
bedoeld/adj	-23.533632594405965	0.932332415339323	-13.305133297409345	-0.11981612435182605	-1.339670581657909	19.30908307541906	23.04577468169265	-7.388139577788374	-3.0637487231165936	0.4271532732899808	5.005515982659143	31.931450664164533	17.702964999534828	5.865295335310938	15.588732512337629	12.442888811843687
beeld/noun	5.879879050293179	6.94074245479189	5.357298175610593	-9.226928104027783	3.0920819607682386	-7.996766424595418	-5.679734267661747	3.4863513591183626	0.3482328641491419	3.2157662752043854	15.174901547695681	6.1810314201817596	1.1827341979447112	-4.07407704866902	11.889543742085733	-9.711641480440148
beetje/noun	4.537886364322899	-18.041035578582928	0.5878548879039766	19.85891872764226	6.948383349014574	7.982444255930166	-12.378772363201735	-9.38564283484765	0	0	-26.882033310204147	-6.35058622996265	-7.745093323842182	-2.9240121624927253	-3.2616544017065907	14.238836871548958
behalve/comp	3.7658490094506716	0.7706744882033466	0	0	0	0	0	0	0	0	0	0	0	0	0	0
behoorlijk/adj	5.399247695859693	-16.4156443985133	-6.0370578692445065	17.84897978006159	0.8103738792338845	12.082712443082404	-11.641084229267523	-11.79096893005405	-1.0588466612561283	-4.066958713206442	-27.380724666839217	-3.7932239729149613	-23.731629502817356	-3.704401696996212	-5.28310298427347	14.604569464533498
beklemmend/adj	-2.890491404409499	5.221472508526097	0	0	0	0	7.179757700937066	-10.798509529729213	0	0	-0.7785729083614316	9.323522581994856	23.012008175495737	23.02087246535396	4.362720630871217	-3.7525869774969665
beminnelijk/adj	5.824677311483606	-6.5364790559749455	-15.142174548118833	16.58503958220063	-4.631027799457576	11.409592620076957	-4.343328385887304	-17.38686974925963	0	0	-23.401957982027234	4.891803960231542	6.485202083726243	-25.62989083504424	-12.55616499407395	10.074287057077587
ben/verb	13.049111118165976	-19.47008830381237	-2.949131546492941	26.53171619926109	7.46950523018871	14.881296997342352	17.44941889154067	14.315607942624506	0	0	-20.44777119736769	-12.356682834437452	-11.077779718397052	-24.591605412491287	-3.267802576000065	22.20858150335298
beschrijving/noun	4.444927766251881	10.20890892443613	0.24591692137929275	-10.290424846416084	-2.397200187349794	-12.162601671344824	-3.208496313402619	7.336241063759685	-1.3347001071327242	3.026929827936085	14.876106680211754	2.2387835451933973	12.90107910124342	-23.7474797877484	9.012555070704789	-4.774467628778086
best/adj	22.37720727920756	-14.026122975784057	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bevat/verb	0.6146203992007586	5.179600352118871	-2.623233622610285	-7.04722131616845	0.18936762601284607	-10.732020924032705	-0.6677026687563034	10.867249884802622	0	0	9.077977864462355	6.255057542781051	-16.03756900517461	18.6296088164615	-9.93025485401396	-8.893277656414423
bijdrage/noun	8.840192561951236	12.413941169611018	-0.6612554462035359	-20.0261043272895	-4.0692807742477495	-18.605428790048567	-9.373502636332201	18.869977296473493	-0.6379545181876518	0.4084598527161643	20.60120587861196	3.980863629592983	-14.734311794511068	17.606502564576658	-17.98420669821578	-16.739553947856034
bijna/adv	-17.60235635677727	-5.48832086353844	0	0	0	0	-0.11520464304908687	3.359691678110795	0	0	-12.959765630450569	18.95150684155352	-17.28274234017102	17.677011643163194	20.075735847647593	-5.47484916439837
bijrol/noun	15.176962160948404	23.148260513889262	16.863221488987122	-17.64972790260131	10.003922385326431	-13.655160925506344	-13.834155189605918	3.8664902212699035	0.07960440290416337	1.6933465771214877	15.31207333611962	-11.00102106661373	13.437964021401365	2.485076263739064	10.391928522436277	-15.068626121235138
bijvoorbeeld/adv	8.946099548842874	3.4118056533125234	-7.789526190758583	-8.304870343423007	1.134637169414284	-9.748069700704447	-1.9150685959936478	10.179144583588991	0	0	13.70119772902801	17.189606183269486	-12.141853360727143	6.791965776213834	-9.16240319736619	-11.171914826896568
bijzonder/adj	8.421056376442625	-11.79827538081897	-7.293864799265451	18.20040832667557	1.3021992782465872	10.983383507652858	-7.70456701069252	-12.59940590831739	-2.6100655505740136	-2.703142462315646	-21.230252073340097	-1.8710378842287516	-11.564431875065315	12.79372757119174	-7.172041169693409	16.052661256759826
