_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	392	NA	NA	1	weight	0.5697920162394219	0.18841777668869875	5000	5000	nav	4_4	0.14971991469749835	224	diskwalificeren
diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	392	NA	NA	1	weight	0.5879870582958135	0.026570934533566664	5000	5000	all	4_4	0.16570501359742873	224	diskwalificeren
diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	392	NA	NA	1	weight	0.4598374282565555	-0.1052211627307319	FOC	174	nav	4_4	0.14838001211610807	224	diskwalificeren
diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	392	NA	NA	1	weight	0.4447195746168375	-0.08851976243292424	FOC	392	all	4_4	0.1494839188131326	224	diskwalificeren
diskwalificeren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	364	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	227	diskwalificeren
diskwalificeren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	364	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	227	diskwalificeren
diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	364	lex	10_10	1	weight	NA	NA	FOC	254	nav	4_4	NA	227	diskwalificeren
diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	364	lex	10_10	1	weight	NA	NA	FOC	364	all	4_4	NA	227	diskwalificeren
diskwalificeren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	364	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	227	diskwalificeren
diskwalificeren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	364	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	227	diskwalificeren
diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	364	lex	10_10	1	selection	NA	NA	FOC	254	nav	4_4	NA	227	diskwalificeren
