pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
2.663779	13	2.796265	6.0	22123	500/num
1.7758522	1	2.6794462	1.0	4147	5000/num
5.0102744	1			161	500_meter/noun
4.530642	1	5.4427066	1.0	261	505/num
10.374379	1			1	51.Zuid-Afrika6501103162.Zimbabwe64207512/num
0.8968609	1			9971	51/num
4.085654	2	4.9852514	2.0	829	55-plussers/noun
9.39355	1			2	55.82/num
0.31849718	1			17736	55/num
8.47726	1			5	59.57/num
1.738278	1	2.6485376	1.0	4278	6-1/noun
0.6867828	1			12174	6-1/num
1.4662169	3	1.2825024	1.0	16672	6./num
4.471018	1	5.3811774	1.0	277	60_meter/noun
1.003401	1	1.9086694	1.0	8956	62/num
10.086698	1			1	65.371^km_u/noun
10.086698	1			1	6_browser/noun
7.889473	1	8.806164	1.0	9	7'53/num
1.5148331	3			15866	7./num
7.1422586	1			19	7.34/num
7.3786473	1			15	7.75/num
-0.80195737	1			54496	7/num
0.905489	3	0.71517855	1.0	29500	70/num
0.11267926	1			21780	75/num
8.294938	1	9.211629	1.0	6	8'33/num
4.5620418	1			253	8-1/noun
3.1626506	2			2035	8./noun
5.816301	1			73	8.200/num
0.18148893	1			20423	8/noun
6.048042	1			59	8750/num
6.514352	1			36	9,86/num
7.7841125	1			10	9.86/num
-0.6665702	1			47693	9/num
8.3729	1			6	91-98/noun
1.9957896	1			3318	91/num
10.086698	1			1	96-80^^/name
1.9914342	1	2.8975525	1.0	3329	96/num
1.6132786	1			4865	99/num
-0.10886658	80	-0.0016491734	36.0	2182842	:/punct
0.106865965	33	-1.0898044	4.0	715025	;/punct
-0.18609539	28	-0.12419488	12.0	826450	?/punct
4.4108005	1	5.3240695	1.0	296	A./tag
7.10862	1			24	ABx/noun
2.0080867	1			3343	ANWB/name
2.9467993	1	3.8215113	1.0	1697	AVT/name
4.2046294	1	5.113818	1.0	363	A_merk/noun
2.25657	1			2559	Aa/name
8.140787	1	9.057478	1.0	7	Abendzeitung/name
